time_bkjd,pdcsap_flux,pdcsap_flux_err,sap_quality
131.51227313,12605.37597656,5.52282906,0
131.53270745,12598.92578125,5.51648521,0
131.55314166,12606.59179688,5.51911736,0
131.57357577,12611.05175781,5.51741982,0
131.59400999,12607.52246094,5.52418709,0
131.61444430,12601.85546875,5.52441645,0
131.63487842,12607.48632812,5.52196741,0
131.65531263,12618.48535156,5.52398539,0
131.67574695,12614.32128906,5.51980114,0
131.69618116,12614.31835938,5.52059793,0
131.71661528,12619.00585938,5.51782322,0
131.73704949,12606.06542969,5.52448511,0
131.75748380,12613.54980469,5.52068233,0
131.77791792,12620.89453125,5.52116489,0
131.79835213,12622.15234375,5.51938391,0
131.81878645,12610.64648438,5.51642513,0
131.83922056,12605.82519531,5.52263737,0
131.85965477,12604.69824219,5.52057123,0
131.88008899,12605.49902344,5.52178192,8192
131.90052320,12603.20312500,5.52100039,8192
131.92095742,12603.84277344,5.51841831,0
131.94139163,12603.00292969,5.51749849,0
131.96182584,12613.79785156,5.52023649,0
131.98226006,12619.19042969,5.52369022,0
132.00269427,12620.00976562,5.52149963,0
132.02312838,12612.48339844,5.52062035,0
132.04356270,12605.34082031,5.52254725,0
132.06399691,12611.38574219,5.52279139,0
132.08443102,12618.91699219,5.52507496,0
132.10486524,12608.77343750,5.52203512,0
132.12529955,12607.94335938,5.52541256,0
132.14573366,12618.74511719,5.51978588,0
132.16616788,12608.96484375,5.52203131,0
132.18660219,12605.74023438,5.52255774,0
132.20703640,12601.41503906,5.52052259,0
132.22747051,12604.45117188,5.52213526,0
132.24790473,12604.29882812,5.52503967,0
132.26833904,12608.79980469,5.51915503,0
132.28877315,12606.11132812,5.52011442,8192
132.30920737,12607.05468750,5.52248240,0
132.32964168,12608.65820312,5.52349424,0
132.35007579,12628.31542969,5.52769423,0
132.37051000,12605.79589844,5.52487421,0
132.39094421,12606.02734375,5.52427435,0
132.41137843,12610.19042969,5.52555704,0
132.43181264,12610.88671875,5.52588034,0
132.45224685,12602.78613281,5.52525997,0
132.47268116,12616.56250000,5.52286625,0
132.49311528,12606.91992188,5.52396727,0
132.51354949,12602.45410156,5.51877785,0
132.53398360,12608.89160156,5.52234077,0
132.55441791,12605.61230469,5.51764393,0
132.57485212,12601.09667969,5.52718449,0
132.59528623,12597.44921875,5.52172804,0
132.61572055,12606.84570312,5.52646589,0
132.63615476,12599.03808594,5.52601051,0
132.65658897,12605.46972656,5.52595091,0
132.67702308,12602.78417969,5.52281666,0
132.69745739,12599.32226562,5.52372789,0
132.71789160,12594.57714844,5.52517366,0
132.73832571,12603.47070312,5.52448702,0
132.75876003,12600.66699219,5.52441645,0
132.77919424,12592.51562500,5.52100277,0
132.79962835,12598.88671875,5.52538919,0
132.82006256,12591.88281250,5.51854277,0
132.84049687,12590.56835938,5.52010822,0
132.86093098,12588.59863281,5.51912737,0
132.88136519,12597.32421875,5.51859283,8192
132.90179950,12587.35839844,5.52226639,0
132.92223361,12591.23046875,5.51467752,0
132.94266782,12587.42968750,5.52044582,0
132.96310203,12594.94628906,5.52530146,0
132.98353634,12586.55078125,5.51910639,0
133.00397046,12584.72753906,5.52150440,0
133.02440467,12579.79394531,5.52085972,0
133.04483888,12593.70410156,5.52054310,0
133.06527309,12589.12792969,5.52528763,0
133.08570730,12592.64355469,5.52760363,0
133.10614151,12585.60742188,5.52372456,8192
133.12657572,12594.52343750,5.52722788,0
133.14700993,12584.48339844,5.52342224,0
133.16744414,12587.51660156,5.52267218,0
133.18787835,12588.03125000,5.52617407,0
133.20831266,12583.89550781,5.52812004,0
133.22874677,12585.79003906,5.52728462,0
133.24918098,12579.05957031,5.52547359,0
