time_bkjd,pdcsap_flux,pdcsap_flux_err,sap_quality
131.51163693,43813.08593750,7.37131214,0
131.53207138,43816.47656250,7.37418842,0
131.55250573,43820.70703125,7.37089682,0
131.57293997,43813.18750000,7.36895609,0
131.59337432,43804.80078125,7.37445879,0
131.61380877,43806.51171875,7.36908293,0
131.63424302,43823.31250000,7.36932039,0
131.65467737,43804.75781250,7.37465000,0
131.67511181,43824.39843750,7.37283516,0
131.69554616,43811.21093750,7.37494946,0
131.71598041,43814.44140625,7.36884737,8192
131.73641476,43827.41796875,7.37372208,0
131.75684921,43800.71484375,7.36909580,0
131.77728345,43806.62109375,7.37032795,0
131.79771780,43813.26171875,7.37211132,0
131.81815225,43807.66406250,7.36859035,0
131.83858650,43817.40625000,7.36852980,0
131.85902084,43808.01953125,7.36661243,0
131.87945519,43794.44921875,7.37189913,0
131.89988954,43809.07421875,7.37378931,0
131.92032389,43808.46875000,7.37153625,0
131.94075824,43808.55078125,7.36922121,0
131.96119258,43806.01562500,7.36178589,0
131.98162693,43819.33984375,7.37067461,0
132.00206128,43811.50000000,7.36841440,0
132.02249553,43810.89062500,7.37072754,0
132.04292998,43810.51171875,7.37036037,0
132.06336432,43818.17578125,7.37167645,0
132.08379857,43812.59765625,7.37372255,0
132.10423292,43805.65234375,7.37311125,0
132.12466737,43825.43359375,7.37476873,0
132.14510162,43807.16796875,7.37312555,0
132.16553596,43829.06250000,7.37072086,0
132.18597041,43805.85937500,7.36766577,0
132.20640476,43816.28906250,7.36923933,8192
132.22683901,43811.76562500,7.36890745,0
132.24727336,43807.64062500,7.37031555,0
132.26770781,43819.11718750,7.37155104,0
132.28814205,43825.69531250,7.37399292,0
132.30857640,43806.67187500,7.36911869,0
132.32901085,43817.41406250,7.37125587,8192
132.34944510,43826.18750000,7.36780071,0
132.36987945,43820.47265625,7.37142706,0
132.39031379,43801.01562500,7.36569452,0
132.41074814,43816.85156250,7.37390852,0
132.43118249,43804.99609375,7.37145376,0
132.45161684,43811.08593750,7.37281370,0
132.47205129,43806.50781250,7.37243748,0
132.49248553,43821.34765625,7.37159824,0
132.51291988,43811.53515625,7.36345625,0
132.53335413,43811.65625000,7.36779356,0
132.55378858,43807.84375000,7.36606741,0
132.57422293,43822.04296875,7.37256002,0
132.59465718,43806.78515625,7.36725426,0
132.61509162,43821.11328125,7.36995411,0
132.63552597,43818.49218750,7.36870289,0
132.65596032,43813.26562500,7.37026548,0
132.67639457,43818.64453125,7.37187386,128
132.69682902,43807.56640625,7.37094784,0
132.71726337,43818.06250000,7.36848783,0
132.73769761,43833.09375000,7.37153196,0
132.75813206,43823.27343750,7.36410809,0
132.77856641,43805.88671875,7.36868668,0
132.79900066,43805.36328125,7.36880255,0
132.81943501,43823.89843750,7.36590242,0
132.83986946,43805.72265625,7.36955404,0
132.86030370,43806.45312500,7.36860800,0
132.88073805,43810.26953125,7.36783695,0
132.90117250,43812.25390625,7.36862469,0
132.92160675,43800.86328125,7.36698914,0
132.94204110,43826.77734375,7.36959505,0
132.96247544,43820.25000000,7.36900806,0
132.98290989,43817.39453125,7.36872244,0
133.00334414,43816.37890625,7.36724091,0
133.02377849,43811.63671875,7.37072277,0
133.04421284,43814.39843750,7.36875439,0
133.06464719,43810.34375000,7.37439728,0
133.08508153,43803.42187500,7.37260914,0
133.10551588,43821.60546875,7.37808895,8192
133.12595023,43814.17578125,7.37371731,0
133.14638458,43817.78515625,7.37261057,0
133.16681893,43818.31640625,7.36946106,0
133.18725328,43812.07031250,7.37323904,0
133.20768773,43811.85937500,7.37256002,0
133.22812197,43822.00390625,7.37135458,0
133.24855632,43812.82031250,7.37283945,0
133.26899067,43823.50000000,7.37508917,0
133.28942502,43815.30468750,7.37028646,0
133.30985937,43810.89843750,7.37290668,0
133.33029362,43808.17187500,7.37767124,0
133.35072806,43826.41796875,7.37515450,0
133.37116241,43832.03125000,7.37536669,0
133.39159676,43820.28125000,7.37685537,0
133.41203111,43819.96875000,7.37655687,0
133.43246546,43818.73046875,7.37658501,0
133.45289981,43818.43359375,7.37459707,0
133.47333405,43818.03906250,7.37533522,0
133.49376850,43828.64843750,7.37660360,0
133.51420285,43824.65625000,7.37625694,0
133.53463710,43820.46875000,7.37553310,0
133.55507155,43824.06250000,7.37745667,0
133.57550590,43807.20312500,7.37730026,0
133.59594014,43823.62109375,7.37733603,0
133.61637449,43810.14453125,7.37552118,0
133.63680894,43820.09375000,7.37546873,0
133.65724329,43815.33984375,7.37625408,0
133.67767754,43825.00390625,7.37882519,0
133.69811199,43817.06640625,7.37837505,0
133.71854634,43819.19140625,7.37401485,0
133.73898058,43816.19140625,7.37537861,0
133.75941493,43838.36328125,7.37870407,0
133.77984938,43822.01953125,7.37693310,0
133.80028363,43814.40234375,7.37602854,0
133.82071798,43815.62500000,7.37656927,0
133.84115233,43804.85546875,7.37560081,0
133.86158667,43819.35546875,7.37692404,0
133.88202102,43811.97265625,7.37533951,0
