time_bkjd,pdcsap_flux,pdcsap_flux_err,sap_quality
131.51244285,18124.37890625,5.11783409,0
131.53287746,18129.05859375,5.12605572,0
131.55331198,18119.31445312,5.12174034,0
131.57374639,18131.13085938,5.11918402,0
131.59418091,18108.37890625,5.12904119,0
131.61461553,18121.77343750,5.12554932,0
131.63504994,18115.68164062,5.12448692,0
131.65548446,18109.95117188,5.12782335,0
131.67591907,18117.59765625,5.12885237,0
131.69635359,18119.99609375,5.13001776,0
131.71678800,18118.91015625,5.12551117,0
131.73722252,18114.02929688,5.12650204,0
131.75765714,18106.10742188,5.12717915,0
131.77809155,18120.27539062,5.12147141,8192
131.79852607,18126.45117188,5.12748337,0
131.81896068,18114.67773438,5.12307262,0
131.83939510,18109.93554688,5.12089014,0
131.85982961,18116.12109375,5.12388754,0
131.88026413,18110.69531250,5.12615252,0
131.90069864,18119.57812500,5.12449169,0
131.92113315,18125.16406250,5.12667894,0
131.94156767,18118.75195312,5.13011837,0
131.96200218,18111.19531250,5.12858725,0
131.98243670,18125.45312500,5.12829065,0
132.00287121,18116.07421875,5.12680006,0
132.02330563,18121.32812500,5.12876368,0
132.04374024,18110.44921875,5.12798119,0
132.06417476,18113.11328125,5.12703466,0
132.08460917,18111.09570312,5.12959480,0
132.10504368,18112.01171875,5.12861061,0
132.12547830,18112.54882812,5.12752247,0
132.14591271,18111.33398438,5.12941074,0
132.16634723,18113.74023438,5.12701607,0
132.18678184,18118.34960938,5.12965822,0
132.20721635,18130.08593750,5.12951040,0
132.22765077,18124.22070312,5.12936163,0
132.24808528,18115.28906250,5.12960291,0
132.26851989,18128.76562500,5.12878895,0
132.28895431,18117.50781250,5.13050079,0
132.30938882,18112.16015625,5.12938356,0
132.32982343,18121.36718750,5.13504648,0
132.35025785,18117.75000000,5.13357735,0
132.37069236,18124.19140625,5.13271093,0
132.39112687,18108.51757812,5.13303518,0
132.41156138,18129.62109375,5.13043642,0
132.43199590,18121.81054688,5.13034344,0
132.45243041,18112.11718750,5.12943363,0
132.47286502,18124.25781250,5.13289976,0
132.49329943,18112.13281250,5.12868834,0
132.51373395,18123.61328125,5.12822294,0
132.53416836,18113.57617188,5.13098955,0
132.55460297,18118.55468750,5.13052511,0
132.57503748,18118.81835938,5.13227367,0
132.59547189,18106.94531250,5.13068151,0
132.61590651,18117.45898438,5.13284683,0
132.63634102,18115.78906250,5.13489437,0
132.65677553,18109.97460938,5.13380051,0
132.67720994,18103.84765625,5.13085651,0
132.69764455,18109.48632812,5.13125658,0
132.71807907,18124.62890625,5.13174248,0
132.73851348,18115.61132812,5.13227034,0
132.75894809,18112.11914062,5.12916279,0
132.77938260,18112.41601562,5.13117886,0
132.79981701,18124.94726562,5.12511063,0
132.82025152,18109.58984375,5.12706804,0
132.84068613,18107.49218750,5.13211203,0
132.86112054,18119.97070312,5.12878466,0
132.88155505,18113.21093750,5.12883854,0
132.90198967,18114.73437500,5.12438011,8192
132.92242408,18111.80664062,5.13104868,0
132.94285859,18120.62695312,5.12779379,0
132.96329310,18119.69140625,5.12990046,0
132.98372771,18118.08789062,5.13267326,0
133.00416212,18107.89453125,5.13188839,0
133.02459663,18113.00390625,5.13066387,0
133.04503114,18111.15625000,5.12955856,0
133.06546565,18114.61132812,5.13412428,0
133.08590016,18113.31640625,5.13544035,0
133.10633467,18119.33593750,5.13391018,0
133.12676918,18115.43359375,5.13490295,0
133.14720369,18111.50781250,5.13517141,0
133.16763820,18099.00976562,5.13353539,0
133.18807271,18116.41796875,5.13505554,0
133.20850732,18110.31054688,5.13361740,0
133.22894173,18108.31250000,5.13609886,0
133.24937624,18119.58593750,5.13621902,0
133.26981074,18115.31640625,5.13492441,0
133.29024525,18126.00585938,5.13362360,0
133.31067976,18103.37109375,5.13608551,0
133.33111417,18110.17773438,5.13641405,0
133.35154878,18122.74023438,5.13545895,0
133.37198329,18124.13867188,5.13715649,0
133.39241780,18116.07226562,5.13383245,0
133.41285231,18106.71093750,5.13399076,0
133.43328682,18120.39453125,5.13681746,0
133.45372132,18119.50781250,5.13465261,0
133.47415573,18112.07812500,5.13537169,0
133.49459034,18121.08593750,5.13729191,0
133.51502485,18112.58789062,5.13751650,0
133.53545926,18112.08203125,5.13573933,0
133.55589386,18118.35937500,5.13624096,8192
133.57632837,18120.39843750,5.13797188,0
133.59676278,18119.78906250,5.13368893,0
133.61719729,18108.63476562,5.13570881,0
133.63763190,18119.02148438,5.13640785,0
133.65806640,18108.17773438,5.13658094,0
133.67850081,18112.72656250,5.13633680,0
133.69893542,18131.84179688,5.13637877,0
133.71936993,18115.23242188,5.13879204,0
133.73980433,18111.49804688,5.13740730,0
133.76023884,18112.35742188,5.13750362,0
133.78067345,18113.28125000,5.13855791,0
133.80110785,18120.24804688,5.13889503,0
133.82154236,18109.71093750,5.13772774,0
133.84197687,18117.50976562,5.13863039,0
133.86241137,18126.40820312,5.13931894,0
133.88284588,18118.60546875,5.13882780,0
133.90328039,18110.99023438,5.13844919,0
133.92371489,18118.82617188,5.13753271,0
133.94414940,18125.72851562,5.13876772,0
133.96458391,18125.43164062,5.13721609,0
133.98501831,18130.11328125,5.13688612,0
134.00545292,18111.77734375,5.13857031,0
134.02588742,18116.42382812,5.13772011,8192
134.04632183,18126.18554688,5.13769436,0
134.06675644,18127.28515625,5.13864851,8192
134.08719094,18130.28320312,5.13902807,0
134.10762535,18119.06054688,5.13917923,0
134.12805985,18129.38085938,5.13906813,0
134.14849446,18117.45507812,5.13827610,0
134.16892896,18126.20703125,5.13795805,0
134.18936337,18120.70898438,5.13863754,0
134.20979797,18127.27539062,5.13847113,8192
134.23023248,18127.71289062,5.13697386,0
134.25066688,18119.40625000,5.13777733,0
134.27110139,18135.13867188,5.13848972,0
134.29153599,18122.02148438,5.13812876,0
134.31197040,18113.73242188,5.13695765,0
134.33240490,18137.71289062,5.13995743,0
134.35283951,18130.98828125,5.13765717,0
134.37327391,18128.02148438,5.13778162,0
134.41414292,18116.79687500,5.13864803,0
134.43457743,18129.75976562,5.13882685,0
134.45501193,18130.25976562,5.13628435,0
