time_bkjd,pdcsap_flux,pdcsap_flux_err,sap_quality
131.51193527,29034.19726562,5.42952299,0
131.53236987,29028.91796875,5.43750191,0
131.55280437,29023.69726562,5.43365097,0
131.57323877,29024.85546875,5.43036890,0
131.59367327,29033.33398438,5.43821573,0
131.61410787,29025.46093750,5.43349838,0
131.63454227,29029.32226562,5.43531561,0
131.65497677,29027.40820312,5.43132353,0
131.67541137,29031.51562500,5.43448162,0
131.69584587,29025.16015625,5.43840742,0
131.71628027,29029.36914062,5.43097496,8192
131.73671477,29035.14843750,5.43826866,0
131.75714937,29033.72070312,5.43611097,0
131.77758377,29028.70703125,5.43399715,0
131.79801827,29025.20703125,5.43646145,0
131.81845287,29032.36132812,5.43754101,0
131.83888727,29029.13867188,5.43363476,0
131.85932177,29026.45117188,5.43415165,0
131.87975627,29031.80664062,5.43798256,0
131.90019077,29035.81445312,5.43894434,0
131.92062527,29021.96484375,5.43317413,8192
131.94105978,29024.89257812,5.43959618,0
131.96149428,29028.90820312,5.43841219,0
131.98192878,29033.69140625,5.43841219,0
132.00236328,29024.01171875,5.43727350,0
132.02279768,29029.36523438,5.43757391,0
132.04323228,29031.15429688,5.44057035,0
132.06366678,29033.77929688,5.43801260,0
132.08410118,29028.79296875,5.44114399,0
132.10453568,29032.18554688,5.44037819,0
132.12497028,29029.27343750,5.44058466,0
132.14540468,29019.97070312,5.44032526,0
132.16583918,29024.45898438,5.43985271,0
132.18627377,29029.04882812,5.43860579,0
132.20670827,29037.05468750,5.43831348,0
132.22714267,29029.98437500,5.43998384,0
132.24757717,29026.80078125,5.44083452,0
132.26801177,29037.31250000,5.44029951,0
132.28844617,29032.04101562,5.43954277,0
132.30888067,29026.65820312,5.44032717,0
132.32931527,29022.47851562,5.43960190,0
132.34974967,29031.14843750,5.44169378,0
132.37018417,29031.29101562,5.44102526,8192
132.39061867,29027.45312500,5.44278002,0
132.41105317,29025.46679688,5.43859243,0
132.43148767,29024.02343750,5.44220495,0
132.45192217,29041.31835938,5.44338417,0
132.47235677,29025.24218750,5.44140911,0
132.49279117,29024.21289062,5.44101238,0
132.51322567,29036.79101562,5.44286728,0
132.53366007,29024.05664062,5.44196367,0
132.55409467,29023.85351562,5.44105148,0
132.57452917,29031.24609375,5.44187117,0
132.59496357,29027.89062500,5.44178104,0
132.61539816,29021.53125000,5.44195652,0
132.63583266,29035.75585938,5.44404840,0
132.65626716,29018.10742188,5.44142056,0
132.67670156,29023.39062500,5.44344759,0
132.69713616,29035.59375000,5.44333839,8192
132.71757066,29031.39257812,5.44103193,0
132.73800506,29029.28710938,5.44298410,0
132.75843966,29028.13671875,5.44095659,0
132.77887416,29028.66210938,5.44200993,0
132.79930856,29032.99609375,5.44019651,0
132.81974306,29040.82812500,5.44244051,0
132.84017765,29026.02148438,5.44109917,0
132.86061205,29031.23437500,5.43874931,0
132.88104655,29028.43750000,5.43928146,0
132.90148115,29031.28320312,5.43778467,0
132.92191555,29027.11328125,5.44075346,0
132.94235005,29024.61914062,5.43943119,0
132.96278455,29033.03125000,5.43982410,0
132.98321915,29033.60937500,5.44214153,0
133.00365354,29021.61718750,5.44069481,0
133.02408804,29028.43945312,5.44293165,0
133.04452254,29040.09375000,5.44158268,0
133.06495704,29027.25000000,5.44321585,0
133.08539154,29026.49218750,5.44429588,0
133.10582604,29031.00390625,5.44258928,0
133.12626054,29026.13867188,5.44486046,0
133.14669503,29030.48632812,5.44518280,0
133.16712953,29031.65039062,5.44708681,128
133.18756403,29039.17382812,5.44590712,128
133.20799863,29026.83984375,5.44159889,0
133.22843303,29033.71289062,5.44568682,0
133.24886753,29027.78515625,5.44418001,0
133.26930202,29037.35351562,5.44435549,0
133.28973652,29028.95312500,5.44205904,0
133.31017102,29022.94531250,5.44516325,0
133.33060542,29026.01171875,5.44625235,0
133.35104002,29028.80273438,5.44189501,0
133.37147451,29030.31445312,5.44590473,0
133.39190901,29021.76171875,5.44587612,0
133.41234351,29021.25000000,5.44482279,0
133.43277801,29027.08789062,5.44505453,0
133.45321251,29030.44921875,5.44536781,0
133.47364690,29022.07226562,5.44562292,0
133.49408150,29034.64062500,5.44452858,0
133.51451600,29018.21289062,5.44509983,0
133.53495040,29028.56250000,5.44473600,0
133.55538500,29030.64257812,5.44509602,8192
133.57581949,29032.03906250,5.44615459,0
133.59625389,29034.90820312,5.44381046,0
133.61668839,29034.92578125,5.44646883,8192
133.63712299,29026.23437500,5.44583893,0
133.65755748,29027.96875000,5.44631004,0
133.67799188,29024.20312500,5.44509506,0
133.69842648,29028.71875000,5.44587946,0
133.71886098,29027.72265625,5.44614983,0
133.73929537,29034.24218750,5.44489574,0
133.75972987,29022.11328125,5.44612551,0
133.78016447,29034.67773438,5.44733953,0
133.80059887,29025.26953125,5.44588709,0
133.82103336,29029.11914062,5.44747496,0
133.84146786,29014.62109375,5.44635201,0
133.86190236,29035.92578125,5.44726181,0
133.88233686,29020.54101562,5.44546270,0
133.90277135,29027.99023438,5.44685221,0
133.92320585,29028.41992188,5.44694042,0
