time_bkjd,pdcsap_flux,pdcsap_flux_err,sap_quality
131.51202766,12617.14746094,4.12385035,0
131.53246215,12622.96875000,4.12331104,0
131.55289654,12616.87011719,4.12563753,0
131.57333082,12626.53710938,4.12436962,0
131.59376521,12630.13867188,4.12664604,0
131.61419969,12627.53906250,4.12814331,0
131.63463398,12627.99511719,4.12410927,0
131.65506837,12632.03515625,4.12429285,0
131.67550285,12631.03222656,4.12491608,0
131.69593724,12631.93847656,4.12788630,0
131.71637152,12627.99218750,4.12674856,0
131.73680591,12640.54687500,4.12542200,0
131.75724039,12629.74121094,4.12630129,0
131.77767468,12635.63476562,4.12588120,0
131.79810907,12627.79296875,4.12461805,8192
131.81854355,12628.24707031,4.12484169,0
131.83897784,12630.53027344,4.12526798,0
131.85941222,12646.39062500,4.12780666,0
131.87984661,12633.26953125,4.12452555,0
131.90028099,12642.38964844,4.12734890,0
131.92071538,12637.27636719,4.12857008,8192
131.94114976,12641.11132812,4.12362385,8192
131.96158415,12639.77246094,4.12764502,0
131.98201853,12639.27734375,4.12596941,0
132.00245292,12635.98046875,4.12507200,0
132.02288720,12636.58300781,4.12832260,0
132.04332169,12637.41992188,4.12485695,0
132.06375607,12640.66015625,4.12791681,0
132.08419036,12645.42187500,4.12726593,0
132.10462474,12645.57617188,4.12764168,0
132.12505923,12648.79199219,4.12781763,0
132.14549351,12641.09960938,4.12639141,0
132.16592790,12641.83300781,4.12656927,0
132.18636238,12647.67285156,4.12725782,0
132.20679677,12652.41210938,4.12823725,0
132.22723105,12646.30664062,4.12729454,0
132.24766544,12649.97460938,4.12815285,0
132.26809992,12649.55175781,4.12696934,0
132.28853421,12642.62597656,4.12920380,0
132.30896859,12643.66601562,4.12857056,0
132.32940308,12643.89160156,4.12955904,0
132.34983736,12645.93847656,4.12923813,0
132.37027175,12647.28710938,4.12814617,0
132.39070613,12640.52246094,4.12534571,0
132.41114052,12644.15136719,4.12794256,0
132.43157490,12649.36718750,4.12792969,0
132.45200928,12643.55273438,4.12296772,0
132.47244377,12643.47070312,4.12624693,0
132.49287805,12653.54199219,4.12644196,0
132.51331244,12640.64160156,4.12693262,0
132.53374672,12636.87402344,4.12454510,0
132.55418121,12641.37890625,4.12564278,0
132.57461559,12641.66015625,4.12835646,0
132.59504987,12649.02246094,4.12627554,0
