time_bkjd,pdcsap_flux,pdcsap_flux_err,sap_quality
131.51252271,85942.75781250,8.44062233,0
131.53295732,85948.89062500,8.44330120,0
131.55339183,85931.49218750,8.44303226,0
131.57382624,85931.21875000,8.43866825,0
131.59426076,85939.92968750,8.44494534,0
131.61469537,85928.45312500,8.44472885,0
131.63512978,85925.64843750,8.44262981,0
131.65556429,85930.22656250,8.44358444,0
131.67599891,85912.37500000,8.44439220,0
131.69643342,85939.15625000,8.44370174,0
131.71686783,85933.07031250,8.44313335,128
131.73730234,85931.47656250,8.44458675,0
131.75773695,85924.84375000,8.44379234,0
131.77817136,85903.10156250,8.44308281,0
131.79860588,85934.53906250,8.44538689,0
131.81904049,85919.32031250,8.44310474,0
131.83947490,85933.92968750,8.44183350,0
131.85990941,85912.46875000,8.44112015,0
131.88034392,85943.73437500,8.44292450,0
131.90077843,85940.11718750,8.44032574,0
131.92121294,85935.52343750,8.44189739,0
131.94164745,85914.32812500,8.44071293,8192
131.96208196,85915.42968750,8.44156170,0
131.98251648,85944.70312500,8.44430447,8192
132.00295099,85940.57031250,8.44428921,0
132.02338540,85926.11718750,8.44598198,0
132.04382001,85922.42187500,8.44029713,0
132.06425452,85913.16406250,8.44533157,0
132.08468893,85937.32031250,8.44162369,0
132.10512344,85927.00781250,8.44252968,8192
132.12555805,85908.39062500,8.44253635,0
132.14599246,85921.95312500,8.44421864,0
132.16642697,85932.60156250,8.44203854,0
132.18686158,85911.64062500,8.44125366,0
132.20729609,85943.10156250,8.44121265,0
132.22773050,85941.69531250,8.44139671,0
132.24816501,85919.14062500,8.44211578,0
132.26859962,85931.24218750,8.44222927,0
132.28903403,85925.54687500,8.44124126,0
132.30946853,85918.90625000,8.44223213,0
132.32990314,85909.78125000,8.44504166,0
132.35033755,85926.25000000,8.44376850,0
132.37077206,85940.03906250,8.44346237,0
132.39120657,85955.37500000,8.44020653,0
132.41164108,85918.21875000,8.44152260,0
132.43207559,85910.15625000,8.43965816,8192
132.45251010,85950.78125000,8.44125366,0
132.47294471,85928.97656250,8.44208908,0
132.49337911,85939.55468750,8.44073009,0
132.51381362,85937.58593750,8.44081020,0
132.53424803,85923.76562500,8.44236755,0
132.55468264,85926.58593750,8.44154263,0
132.57511715,85912.37500000,8.44246960,0
132.59555155,85926.71093750,8.44360352,0
132.61598616,85930.41406250,8.44140053,0
132.63642067,85945.83593750,8.44433212,0
132.65685518,85931.35937500,8.44087887,0
132.67728959,85930.76562500,8.44017029,0
132.69772419,85922.50781250,8.44196510,0
132.71815870,85946.76562500,8.44230938,0
132.73859311,85926.96093750,8.43943691,0
132.75902771,85926.71093750,8.44180298,0
132.77946222,85929.42187500,8.44204712,0
132.79989663,85933.03125000,8.43764114,0
132.82033114,85944.79687500,8.44224453,128
132.84076574,85929.11718750,8.43886375,0
132.86120015,85948.10937500,8.43395424,0
132.88163466,85928.68750000,8.43655205,0
132.90206926,85929.17968750,8.43969250,0
132.92250367,85943.85937500,8.44326019,0
132.94293818,85864.54687500,8.43755054,0
132.96337268,85826.42187500,8.43612003,0
132.98380729,85797.32812500,8.43762684,0
133.00424169,85808.78906250,8.43542957,0
133.02467620,85825.79687500,8.43811893,0
133.04511071,85819.83593750,8.43617249,0
133.06554521,85848.87500000,8.43982792,0
133.08597972,85940.49218750,8.44564724,0
133.10641422,85946.10156250,8.44433403,0
133.12684873,85932.74218750,8.44678879,0
133.14728323,85940.83593750,8.44609928,0
133.16771774,85940.75781250,8.44345760,0
133.18815224,85933.10156250,8.44449806,0
133.20858685,85937.85156250,8.44448757,0
133.22902125,85953.92187500,8.44607353,0
133.24945576,85958.63281250,8.44651127,8192
133.26989026,85933.60156250,8.44378185,0
133.29032477,85948.60156250,8.44556332,0
133.31075927,85953.14062500,8.44909096,0
133.33119368,85953.19531250,8.44593334,128
133.35162828,85943.02343750,8.44583797,0
133.37206279,85937.38281250,8.44673443,0
133.39249729,85950.73437500,8.44230938,8192
133.41293180,85944.58593750,8.44524860,0
133.43336630,85939.00781250,8.44457245,0
133.45380080,85938.51562500,8.44555855,0
133.47423521,85946.13281250,8.43998146,0
133.49466981,85950.73437500,8.44439125,0
133.51510432,85943.69531250,8.44655132,0
133.53553872,85953.05468750,8.44233799,0
133.55597332,85948.28906250,8.44778633,0
133.57640783,85941.08593750,8.44534111,8192
133.59684223,85943.97656250,8.44312286,0
133.61727673,85926.49218750,8.44708538,0
133.63771134,85936.28125000,8.44432640,0
133.65814584,85966.53906250,8.45138168,0
133.67858024,85932.12500000,8.44432068,0
133.69901484,85944.84375000,8.44468021,0
133.71944935,85937.66406250,8.44813442,0
133.73988375,85957.33593750,8.44744015,8192
133.76031825,85944.35937500,8.44771862,0
133.78075285,85944.46093750,8.44822788,0
133.80118726,85955.02343750,8.44926262,0
133.82162176,85925.07031250,8.44766998,8192
133.84205626,85946.21875000,8.44450188,0
133.86249076,85930.11718750,8.44604015,0
133.88292527,85943.59375000,8.44764328,0
133.90335977,85940.43750000,8.44945431,0
133.92379427,85947.19531250,8.45026493,0
133.94422877,85956.15625000,8.44944954,0
133.96466327,85956.08593750,8.44450188,0
133.98509767,85963.35156250,8.44587231,0
134.00553228,85954.83593750,8.44244671,0
134.02596678,85938.59375000,8.44721127,0
134.04640118,85953.80468750,8.44551086,0
134.06683578,85952.08593750,8.45176029,0
134.08727028,85963.32031250,8.44671345,0
134.10770468,85951.76562500,8.44678116,0
134.12813918,85950.03125000,8.44896889,0
134.14857378,85962.41406250,8.44694233,0
134.16900828,85944.57031250,8.44980049,0
134.18944268,85954.30468750,8.44930172,0
134.20987728,85952.17968750,8.44947720,0
134.23031178,85934.46875000,8.44779587,0
134.25074618,85959.35156250,8.44967270,0
134.27118068,85950.39843750,8.44785118,0
134.29161528,85945.87500000,8.44941902,0
134.31204968,85970.35937500,8.45075607,0
134.33248418,85956.78125000,8.44782829,0
134.35291878,85968.77343750,8.44940567,0
134.37335318,85937.19531250,8.44902134,0
134.41422218,85948.47656250,8.45154476,0
134.43465668,85953.24218750,8.44811821,0
134.45509118,85962.15625000,8.45068169,0
134.47552568,85958.42968750,8.45122910,0
134.49596028,85966.34375000,8.45165443,0
134.51639468,85968.27343750,8.45140934,0
134.53682917,85955.45312500,8.44588089,0
134.55726357,85934.23437500,8.44893742,0
134.57769817,85956.43750000,8.45112514,0
134.59813267,85948.99218750,8.45069218,0
134.61856707,85962.25781250,8.45090580,0
134.63900157,85959.72656250,8.45083332,0
134.65943617,85934.97656250,8.44920731,0
134.67987066,85945.57031250,8.45064735,0
134.70030516,85943.92968750,8.45265007,0
134.72073966,85964.59375000,8.45359039,0
134.74117416,85961.35156250,8.45230865,0
134.76160855,85963.98437500,8.45296192,0
134.78204305,85958.24218750,8.45452595,0
134.80247765,85948.33593750,8.45301723,0
134.82291215,85969.48437500,8.45520115,8192
134.84334654,85948.14062500,8.45320034,0
134.86378114,85966.87500000,8.44919014,0
134.88421564,85952.25000000,8.45134449,0
134.90465013,85969.32031250,8.45554733,0
134.92508453,85953.09375000,8.45114422,0
134.94551913,85958.24218750,8.45309830,0
134.96595362,85943.75000000,8.45363522,0
134.98638802,85959.17968750,8.45275307,0
135.00682262,85977.85937500,8.45315742,0
135.02725711,85976.41406250,8.45664120,0
135.04769151,85973.35937500,8.45782471,0
135.06812601,85959.53125000,8.45648670,0
135.08856060,85946.60937500,8.45673752,0
135.10899500,85953.85156250,8.45501518,0
135.12942949,85964.26562500,8.45618057,0
135.14986409,85976.00000000,8.45588684,0
135.17029858,85970.04687500,8.45620728,0
135.19073298,85972.10937500,8.45664310,0
135.21116748,85967.40625000,8.45565414,0
135.23160207,85971.00781250,8.45645046,0
135.25203647,85961.88281250,8.45603371,0
135.27247096,85962.29687500,8.45487499,0
135.29290536,85972.18750000,8.45629311,0
135.31333995,85985.78906250,8.45541191,0
135.33377445,85958.53125000,8.45557690,0
135.35420884,85981.68750000,8.45862961,0
135.37464343,85973.53906250,8.45578098,0
