time_bkjd,pdcsap_flux,pdcsap_flux_err,sap_quality
131.51199816,34399.16796875,5.78754377,0
131.53243278,34404.31640625,5.79696226,0
131.55286730,34400.76171875,5.79273033,0
131.57330173,34403.94921875,5.78928518,0
131.59373625,34390.74609375,5.79637527,0
131.61417087,34400.75781250,5.79225540,0
131.63460530,34396.42187500,5.79433870,0
131.65503982,34389.17187500,5.78914022,0
131.67547444,34405.37500000,5.79341030,0
131.69590897,34396.12890625,5.79740381,0
131.71634339,34412.16406250,5.79014826,0
131.73677791,34403.06250000,5.79702616,0
131.75721254,34399.67187500,5.79452896,0
131.77764696,34403.34375000,5.79286671,0
131.79808148,34394.39453125,5.79524469,0
131.81851611,34400.36718750,5.79618931,0
131.83895053,34404.82812500,5.79253149,0
131.85938505,34406.56250000,5.79343605,0
131.87981958,34400.02734375,5.79667091,0
131.90025410,34402.31250000,5.79762506,0
131.92068862,34413.27343750,5.79308462,0
131.94112314,34395.04687500,5.79866409,0
131.96155767,34410.85546875,5.79821396,0
131.98199219,34411.02343750,5.79781246,0
132.00242671,34394.44531250,5.79635477,0
132.02286113,34387.59765625,5.79572487,0
132.04329576,34402.41015625,5.79983759,0
132.06373028,34407.64062500,5.79723835,0
132.08416470,34395.31640625,5.80003500,0
132.10459923,34395.97656250,5.79908037,0
132.12503385,34400.17187500,5.79977989,0
132.14546827,34402.83984375,5.80020189,0
132.16590279,34400.72656250,5.79929781,0
132.18633742,34392.38281250,5.79721832,0
132.20677194,34391.76562500,5.79628086,0
132.22720636,34400.24218750,5.79900026,0
132.24764088,34395.92968750,5.79992390,0
132.26807550,34396.76562500,5.79864550,0
132.28850993,34405.39453125,5.79876375,0
132.30894445,34397.53125000,5.79945087,0
132.32937907,34398.86328125,5.79902029,0
132.34981349,34407.74609375,5.80137539,0
132.37024802,34404.81640625,5.80039787,0
132.39068254,34399.82031250,5.80211830,0
132.41111706,34398.19140625,5.79768896,0
132.43155158,34390.89453125,5.80137491,0
132.45198610,34402.90234375,5.80212736,0
132.47242073,34389.77734375,5.80021286,0
132.49285515,34393.68750000,5.80019140,0
132.51328967,34403.06640625,5.80185509,0
132.53372409,34398.80468750,5.80151367,0
132.55415871,34402.98046875,5.80078268,0
132.57459324,34399.48437500,5.80090046,0
132.59502766,34394.21875000,5.80084324,0
132.61546228,34403.96875000,5.80202007,0
132.63589680,34398.62890625,5.80288649,0
132.65633132,34397.89062500,5.80120850,0
132.67676574,34398.70312500,5.80301476,0
132.69720036,34396.01562500,5.80207443,0
132.71763489,34388.89843750,5.79954529,0
132.73806931,34402.30468750,5.80244493,0
132.75850393,34392.16406250,5.79959154,8192
132.77893845,34402.95312500,5.80040026,0
132.79937287,34395.66015625,5.79903746,0
132.81980739,34399.48437500,5.79971123,0
132.84024201,34403.98046875,5.80065203,0
132.86067644,34410.08984375,5.79843521,0
132.88111096,34394.29296875,5.79688072,0
132.90154558,34393.98046875,5.79636574,0
132.92198000,34386.77734375,5.79683161,0
132.94241452,34401.85156250,5.79872417,0
132.96284904,34404.95312500,5.79621840,0
132.98328366,34401.73828125,5.79858208,0
133.00371808,34386.88281250,5.79699183,0
133.02415260,34391.37500000,5.79919100,0
133.04458713,34399.00781250,5.79745102,0
133.06502165,34388.89843750,5.79919195,0
133.08545617,34393.62109375,5.80079699,0
133.10589069,34404.87500000,5.79951525,0
133.12632521,34398.66796875,5.80182838,0
133.14675973,34393.82031250,5.80149889,8192
133.16719425,34396.42187500,5.80303526,0
133.18762877,34395.37890625,5.80045843,0
133.20806339,34403.75781250,5.79841423,0
133.22849781,34395.24609375,5.80209875,0
133.24893233,34399.69921875,5.80112457,0
133.26936685,34398.69921875,5.80045843,0
133.28980137,34398.03906250,5.79855204,0
133.31023589,34385.34375000,5.80149508,0
133.33067031,34400.92968750,5.80350685,0
133.35110493,34400.19531250,5.79868507,0
133.37153945,34391.43359375,5.80211353,0
133.39197397,34397.06640625,5.80303097,0
133.41240849,34405.62500000,5.80267525,0
133.43284302,34399.11328125,5.80192518,0
133.45327754,34392.08203125,5.80190372,0
133.47371196,34400.19140625,5.80303431,0
133.49414658,34393.96875000,5.80067730,0
133.51458110,34402.21093750,5.80287409,0
133.53501552,34402.05078125,5.80180931,0
133.55545013,34390.92968750,5.80151367,0
133.57588465,34396.48046875,5.80275345,0
133.59631907,34394.57031250,5.80010796,0
133.61675359,34401.08203125,5.80338478,0
133.63718821,34402.62890625,5.80321598,0
133.65762273,34396.67578125,5.80317879,0
133.67805715,34388.16796875,5.80171537,0
133.69849177,34396.19921875,5.80259752,0
133.71892629,34392.41015625,5.80280018,0
133.73936071,34403.10937500,5.80165625,0
133.75979523,34390.15234375,5.80318928,0
133.78022985,34400.19921875,5.80412436,0
133.80066427,34393.84765625,5.80279779,0
133.82109879,34399.55078125,5.80466747,0
133.84153331,34391.90625000,5.80393791,0
133.86196783,34401.85546875,5.80413437,0
133.88240235,34399.48437500,5.80308008,0
133.90283687,34381.19531250,5.80280018,0
133.92327139,34398.97265625,5.80405998,0
133.94370591,34384.44531250,5.80327606,0
133.96414042,34386.44531250,5.80284023,0
133.98457484,34397.50390625,5.80228376,0
134.00500946,34393.38281250,5.80426598,0
134.02544398,34394.36718750,5.80335569,0
134.04587840,34393.98828125,5.80372047,0
134.06631302,34403.01562500,5.80476284,0
134.08674754,34386.96484375,5.80350208,0
134.10718196,34391.45312500,5.80405569,0
134.12761647,34400.16796875,5.80467653,0
134.14805109,34392.13281250,5.80380821,0
134.16848561,34398.10156250,5.80325508,0
134.18892003,34387.90625000,5.80452204,0
134.20935465,34389.43750000,5.80438280,0
134.22978917,34387.65625000,5.80404806,0
134.25022359,34399.68359375,5.80379486,0
134.27065810,34400.76562500,5.80437851,0
134.29109272,34398.21875000,5.80460644,0
134.31152714,34392.54687500,5.80404377,0
134.33196166,34412.66406250,5.80412245,0
134.35239628,34396.32812500,5.80452633,0
134.37283070,34394.81640625,5.80466032,0
134.41369973,34398.32421875,5.80553532,0
134.43413425,34406.74609375,5.80614376,0
134.45456877,34394.95703125,5.80402088,0
134.47500329,34405.80468750,5.80535173,0
134.49543790,34395.92968750,5.80408907,0
134.51587232,34400.97265625,5.80279064,0
134.53630684,34403.76562500,5.80289698,0
134.55674126,34410.62500000,5.80235291,0
134.57717587,34396.41796875,5.80038118,0
134.59761039,34402.87109375,5.80234385,0
134.61804481,34395.34375000,5.80124474,0
134.63847933,34408.05468750,5.80181170,0
134.65891395,34394.08203125,5.79891253,0
134.67934846,34395.10156250,5.80124092,0
134.69978298,34392.11328125,5.80149126,0
134.72021750,34421.99609375,5.80478764,0
134.74065201,34412.06640625,5.80422688,0
134.76108643,34408.30859375,5.80567408,0
134.78152095,34398.73828125,5.80482483,0
134.80195557,34395.92187500,5.80402946,0
134.82239008,34387.00390625,5.80415678,0
134.84282450,34409.73828125,5.80500841,0
134.86325912,34397.62890625,5.80442858,0
134.88369363,34406.85546875,5.80600071,0
134.90412815,34393.96875000,5.80542707,0
134.92456257,34402.82031250,5.80624294,0
134.94499719,34398.32421875,5.80547142,0
134.96543170,34393.58203125,5.80638123,0
134.98586612,34393.40234375,5.80633259,0
135.00630074,34386.16406250,5.80548000,0
135.02673525,34382.19531250,5.80524492,0
135.04716967,34377.40625000,5.80522633,0
135.06760419,34379.42187500,5.80526400,0
135.08803880,34376.91406250,5.80528831,0
135.10847322,34359.86718750,5.80451107,0
135.12890773,34383.78906250,5.80529833,0
135.14934235,34380.80078125,5.80394411,0
135.16977687,34376.45312500,5.80479479,0
135.19021128,34391.03906250,5.80594444,8192
135.21064580,34390.91796875,5.80658960,0
135.23108042,34393.60546875,5.80641794,0
135.25151483,34395.52734375,5.80689240,0
135.27194935,34394.32031250,5.80656958,0
135.29238376,34388.10937500,5.80654573,0
135.31281838,34386.73828125,5.80592108,8192
135.33325290,34396.05859375,5.80706978,0
135.35368731,34406.54296875,5.80768013,0
135.37412193,34394.82812500,5.80709362,0
135.39455644,34408.05078125,5.80763197,0
135.41499096,34392.45312500,5.80679083,0
135.43542537,34387.19140625,5.80683994,0
135.45585999,34398.98437500,5.80718660,0
135.47629451,34401.26562500,5.80741167,0
135.49672892,34389.55078125,5.80612278,0
135.51716354,34392.12109375,5.80734777,0
135.53759805,34401.32421875,5.80763388,0
135.55803247,34392.60546875,5.80674505,0
135.57846698,34398.58984375,5.80736780,0
135.59890160,34394.22656250,5.80713320,0
135.61933601,34396.60937500,5.80759096,0
135.63977053,34400.09375000,5.80540943,0
135.66020514,34393.52734375,5.80667543,0
135.68063966,34396.63671875,5.80724335,0
135.70107407,34397.88671875,5.80754185,0
135.72150859,34387.41015625,5.80653238,0
135.74194320,34392.00390625,5.80644894,0
135.76237762,34398.67187500,5.80702114,0
135.78281213,34401.56250000,5.80623770,0
135.80324675,34394.99609375,5.80742216,0
135.82368116,34395.66406250,5.80705404,0
135.84411568,34389.88281250,5.80679321,0
135.86455019,34392.55078125,5.80664968,0
135.88498471,34396.46484375,5.80552292,0
135.90541922,34394.20703125,5.80570984,0
135.92585374,34394.28906250,5.80651760,0
135.94628815,34399.96093750,5.80718088,0
135.96672276,34397.12109375,5.80669641,0
135.98715728,34402.28906250,5.80409193,0
136.00759169,34392.11718750,5.80695438,0
136.02802631,34397.54296875,5.80573177,0
136.04846082,34393.26953125,5.80741310,0
136.06889523,34394.43750000,5.80636740,0
136.08932975,34403.44921875,5.80797815,0
136.10976436,34394.21875000,5.80665302,0
136.13019888,34391.27343750,5.80620575,0
136.15063329,34391.73828125,5.80611897,8192
136.17106790,34399.25390625,5.80807829,0
136.19150242,34402.75000000,5.80757809,0
136.21193683,34401.24609375,5.80746126,0
136.23237134,34386.71875000,5.80610752,0
136.25280596,34404.01171875,5.80675316,0
136.27324037,34396.78125000,5.80538177,0
136.29367489,34405.38281250,5.80662489,0
136.31410950,34396.38281250,5.80646563,0
136.33454391,34394.71484375,5.80684233,0
136.35497843,34383.75781250,5.80509281,0
136.37541294,34403.48046875,5.80729198,0
136.39584745,34400.80078125,5.80632210,0
136.41628196,34402.62890625,5.80686188,0
136.43671648,34401.91015625,5.80807114,0
136.45715109,34391.55859375,5.80640411,0
136.47758550,34397.51171875,5.80594969,0
136.49802002,34397.22656250,5.80502605,0
136.51845453,34389.76171875,5.80632544,0
136.53888904,34390.31640625,5.80665731,0
136.55932356,34405.33984375,5.80760622,0
136.57975807,34405.83984375,5.80859995,0
136.60019258,34400.27343750,5.80717278,0
136.62062709,34388.39453125,5.80731487,0
136.64106161,34384.23437500,5.80525112,0
136.66149612,34397.42187500,5.80678988,0
136.68193063,34398.25390625,5.80737305,0
136.70236514,34395.39062500,5.80801773,0
136.72279965,34392.11328125,5.80780649,0
136.74323407,34396.75000000,5.80678320,0
136.76366868,34402.81640625,5.80823326,0
136.78410319,34391.29296875,5.80729723,0
136.80453760,34400.36718750,5.80829287,0
136.82497222,34388.01562500,5.80635929,0
136.84540673,34399.98046875,5.80834723,0
136.86584124,34398.04687500,5.80828857,0
136.88627565,34381.87500000,5.80680895,0
136.90671026,34404.08593750,5.80835772,0
136.92714477,34391.33203125,5.80693722,0
136.94757919,34391.21484375,5.80736113,0
136.96801380,34396.17187500,5.80621052,0
136.98844831,34399.83984375,5.80829525,0
137.00888272,34402.23046875,5.80834198,0
137.02931723,34395.96484375,5.80733681,0
137.04975184,34401.60937500,5.80856562,0
137.07018625,34397.87890625,5.80796432,0
137.09062077,34402.54687500,5.80803871,0
137.11105538,34403.85937500,5.80635452,0
137.13148979,34396.93359375,5.80765581,0
137.15192430,34399.88281250,5.80837297,0
137.17235881,34395.66406250,5.80813980,0
137.19279342,34395.82031250,5.80840302,0
137.21322783,34385.57031250,5.80627871,0
137.23366234,34395.73828125,5.80759668,0
137.25409675,34398.39062500,5.80722475,0
137.27453136,34394.66015625,5.80829477,0
137.29496587,34394.15234375,5.80751801,0
137.31540029,34393.79687500,5.80830717,0
137.33583490,34399.19531250,5.80821180,0
137.35626941,34393.92968750,5.80655479,0
137.39713833,34387.62500000,5.80477190,0
137.41757294,34404.40234375,5.80723906,0
137.43800745,34388.53906250,5.80481339,0
137.45844186,34403.49218750,5.80861759,0
137.47887647,34403.71484375,5.80856609,0
137.49931098,34395.98437500,5.80787039,0
137.51974539,34395.46875000,5.80857182,0
137.54017990,34399.01171875,5.80603600,0
137.56061451,34395.32812500,5.80706072,0
137.58104892,34393.30078125,5.80717611,0
137.60148343,34399.63671875,5.80710030,0
137.62191804,34398.53906250,5.80826759,0
137.64235255,34400.51171875,5.80694246,0
137.66278696,34391.82421875,5.80793762,0
137.68322147,34400.02734375,5.80873775,0
137.70365607,34398.19531250,5.80876017,8192
137.72409048,34390.60937500,5.80749607,0
137.74452499,34399.04687500,5.80886936,0
137.76495960,34401.02734375,5.80800867,0
137.78539401,34392.04296875,5.80694866,0
137.80582852,34402.43750000,5.80850744,0
137.82626293,34401.55859375,5.80867529,0
137.84669754,34399.49609375,5.80870533,0
137.86713205,34385.88671875,5.80572701,0
137.88756656,34397.78515625,5.80699682,0
137.90800097,34398.24609375,5.80792761,0
137.92843557,34401.81250000,5.80932951,0
137.94887008,34410.82031250,5.81006956,0
137.96930449,34386.21093750,5.80799484,0
137.98973910,34416.62109375,5.80982447,0
138.01017361,34399.21093750,5.80662298,0
138.03060802,34389.21093750,5.80865860,0
138.05104253,34392.96484375,5.80829000,0
138.07147713,34406.96093750,5.80948877,0
138.09191164,34400.91796875,5.80921698,0
138.11234605,34401.17968750,5.80880547,0
138.13278066,34404.76953125,5.80958128,0
138.15321517,34397.05078125,5.80812120,0
138.17364957,34405.76171875,5.80941248,0
138.19408408,34393.78906250,5.80783796,0
138.21451869,34407.01953125,5.80949497,0
138.23495320,34389.05468750,5.80791855,0
138.25538761,34395.64843750,5.80765295,0
138.27582221,34395.96875000,5.80803013,0
138.29625672,34388.60937500,5.80666971,0
138.31669113,34404.04687500,5.80839825,0
138.33712564,34405.72656250,5.80807161,0
138.35756024,34391.02343750,5.80684566,0
138.37799475,34389.62109375,5.80683088,0
138.39842916,34392.11328125,5.80692768,0
138.41886376,34394.82421875,5.80484772,0
138.43929827,34386.78515625,5.80569124,0
138.45973268,34390.76953125,5.80758476,0
138.48016719,34395.50781250,5.80625248,0
138.50060179,34392.28906250,5.80813265,0
138.52103620,34390.73437500,5.80176830,0
138.54147071,34399.21484375,5.80513716,0
138.56190521,34386.66015625,5.80604124,0
138.58233972,34392.83203125,5.80763817,0
138.60277423,34385.51953125,5.80719900,0
138.62320873,34383.62500000,5.80605221,0
138.64364324,34405.35546875,5.80819511,0
138.66407775,34384.38281250,5.80345201,0
