time_bkjd,pdcsap_flux,pdcsap_flux_err,sap_quality
131.51243460,6688.60644531,3.82989335,0
131.53286922,6685.38378906,3.83513618,0
131.55330373,6696.68310547,3.83401012,0
131.57373815,6694.93994141,3.83146048,0
131.59417267,6696.46875000,3.83940339,0
131.61460728,6687.44042969,3.83532810,0
131.63504170,6690.92041016,3.83556843,0
131.65547621,6693.51806641,3.83849525,0
131.67591083,6692.75634766,3.83890700,8192
131.69634534,6695.90722656,3.83968067,0
131.71677976,6694.94042969,3.83641076,8192
131.73721427,6693.13720703,3.83705735,0
131.75764888,6686.77490234,3.83748865,0
131.77808330,6695.33105469,3.83344555,0
131.79851781,6695.52490234,3.83751678,0
131.81895243,6692.11035156,3.83450794,0
131.83938684,6694.67529297,3.83333230,0
131.85982136,6698.78808594,3.83594918,0
131.88025587,6697.50292969,3.83757162,0
131.90069038,6695.10058594,3.83546805,0
131.92112490,6693.50097656,3.83715582,0
131.94155941,6700.25830078,3.84003520,0
131.96199393,6697.49023438,3.83957791,0
131.98242844,6704.86083984,3.83956218,0
132.00286295,6699.87304688,3.83821607,0
132.02329737,6702.43066406,3.83951688,0
132.04373198,6708.58056641,3.83979082,0
132.06416649,6706.05029297,3.84104061,128
132.08460091,6712.51562500,3.84178162,0
132.10503542,6700.63525391,3.83945584,0
132.12547003,6701.51318359,3.83921552,0
132.14590445,6706.45068359,3.84094095,0
132.16633896,6705.11376953,3.83942580,0
132.18677357,6711.51464844,3.84135842,0
132.20720809,6707.41796875,3.84035754,8192
132.22764250,6716.67041016,3.84157228,0
132.24807701,6707.67333984,3.84059167,0
132.26851162,6708.12158203,3.84000874,0
132.28894604,6709.62304688,3.84166574,0
132.30938055,6710.21728516,3.84141874,0
132.32981516,6709.22070312,3.84491515,0
132.35024957,6712.86425781,3.84480667,0
132.37068409,6712.83251953,3.84358811,0
132.39111860,6708.92285156,3.84406066,0
132.41155311,6707.93847656,3.84156561,0
132.43198762,6711.77343750,3.84159279,0
132.45242213,6718.78466797,3.84239101,0
132.47285675,6711.25390625,3.84360647,0
132.49329116,6713.92480469,3.84117627,0
132.51372567,6722.19433594,3.84160924,0
132.53416008,6709.09033203,3.84223914,0
132.55459469,6704.74169922,3.84162736,0
132.57502920,6706.96630859,3.84295058,0
132.59546362,6717.67675781,3.84344530,0
132.61589823,6710.66259766,3.84370279,0
132.63633274,6710.87304688,3.84517980,0
132.65676725,6714.01269531,3.84555817,0
132.67720166,6720.19726562,3.84374142,0
132.69763627,6718.50390625,3.84362173,0
132.71807078,6718.18066406,3.84387469,0
132.73850519,6714.18359375,3.84357047,0
132.75893980,6714.77880859,3.84216022,0
132.77937431,6709.96240234,3.84268165,0
132.79980873,6717.07031250,3.83845496,0
132.82024324,6718.38964844,3.84063315,0
132.84067785,6718.57812500,3.84460926,8192
132.86111226,6726.08349609,3.84286523,0
132.88154677,6714.67187500,3.84132457,0
132.90198138,6709.00390625,3.83754349,0
132.92241579,6715.37304688,3.84313202,0
132.94285030,6719.13232422,3.84091783,0
132.96328481,6720.94580078,3.84302664,0
132.98371942,6713.61669922,3.84390831,0
133.00415383,6724.54785156,3.84532881,0
133.02458834,6728.79541016,3.84474325,0
133.04502285,6720.80810547,3.84318757,0
133.06545735,6722.47070312,3.84640718,0
133.08589186,6725.36962891,3.84742785,0
133.10632637,6718.26416016,3.84579587,0
133.12676088,6726.34375000,3.84716606,0
133.14719539,6726.71728516,3.84795427,0
