time_bkjd,pdcsap_flux,pdcsap_flux_err,sap_quality
131.51240098,113241.50000000,9.67426491,0
131.53283540,113255.89843750,9.68354321,0
131.55326973,113240.89062500,9.67568588,0
131.57370396,113244.70312500,9.68343353,0
131.59413828,113257.09375000,9.68075466,0
131.61457271,113266.59375000,9.68486691,0
131.63500693,113256.74218750,9.68632317,0
131.65544126,113245.45312500,9.68594646,0
131.67587569,113256.95312500,9.68457890,0
131.69631001,113257.36718750,9.68632793,0
131.71674424,113239.14843750,9.68817902,0
131.73717857,113283.00781250,9.68877888,128
131.75761299,113266.01562500,9.68523598,0
131.77804722,113258.40625000,9.67977238,0
131.79848154,113284.86718750,9.68894386,0
131.81891597,113262.21875000,9.68011475,0
131.83935019,113225.14843750,9.68084049,0
131.85978452,113229.96875000,9.68484020,0
131.88021884,113217.57812500,9.68160152,0
131.90065317,113223.36718750,9.69138432,0
131.92108749,113246.32812500,9.67887402,0
131.94152182,113237.89843750,9.68316174,0
131.96195615,113246.08593750,9.68386173,8192
131.98239047,113262.85156250,9.67101479,0
132.00282479,113279.42968750,9.68365002,0
132.02325902,113271.82812500,9.67598629,0
132.04369344,113273.10937500,9.68703270,0
132.06412777,113260.04687500,9.68714523,0
132.08456199,113266.63281250,9.69251347,0
132.10499632,113256.89062500,9.68750381,0
132.12543074,113266.00781250,9.69253635,0
132.14586497,113267.17968750,9.69134331,0
132.16629929,113270.95312500,9.69203472,0
132.18673372,113270.38281250,9.68482971,0
132.20716804,113268.71875000,9.68946743,0
132.22760226,113262.55468750,9.69233799,0
132.24803659,113265.80468750,9.69412518,0
132.26847101,113256.58593750,9.69253731,0
132.28890524,113269.25000000,9.69063282,0
132.30933956,113255.49218750,9.68931961,0
132.32977398,113263.96875000,9.69032955,0
132.35020821,113252.47656250,9.68845272,0
132.37064253,113243.21093750,9.68440342,8192
132.39107685,113265.83593750,9.68242836,8192
132.41151118,113273.03906250,9.69253540,0
132.43194550,113272.62500000,9.69135284,0
132.45237982,113247.72656250,9.68426704,0
132.47281425,113245.14062500,9.68686390,0
132.49324847,113266.75781250,9.69226170,0
132.51368279,113258.24218750,9.69352341,0
132.53411701,113262.17968750,9.68888283,0
132.55455144,113260.48437500,9.68769360,0
132.57498576,113260.48437500,9.68891335,0
132.59541998,113265.74218750,9.68770695,0
132.61585441,113265.27343750,9.69464493,0
132.63628873,113269.15625000,9.69863033,0
132.65672305,113246.39843750,9.69051933,128
132.67715727,113249.73437500,9.69081688,0
132.69759169,113273.65625000,9.68739033,0
132.71802602,113260.54687500,9.69481945,0
132.73846024,113274.01562500,9.68594933,0
132.75889466,113270.30468750,9.69316196,0
132.77932898,113258.92968750,9.68541718,0
132.79976320,113265.15625000,9.68661594,0
132.82019753,113271.21875000,9.68355465,0
132.84063195,113261.76562500,9.68857479,0
132.86106617,113268.68750000,9.68896580,0
132.88150049,113258.08593750,9.69171333,0
132.90193491,113282.88281250,9.69222832,0
132.92236913,113269.70312500,9.68924618,0
132.94280345,113267.94531250,9.68608189,0
132.96323778,113282.39062500,9.69312668,0
132.98367220,113266.37500000,9.69371891,0
133.00410642,113262.64062500,9.69371986,0
133.02454074,113309.33593750,9.69397068,0
133.04497506,113277.60937500,9.69453907,0
133.06540938,113274.92187500,9.69655704,0
133.08584370,113256.91406250,9.69721985,0
133.10627802,113197.49218750,9.69186878,0
133.12671234,113194.87500000,9.69106388,0
133.14714666,113204.13281250,9.68907452,0
133.16758098,113202.28125000,9.69709873,0
133.18801530,113220.57812500,9.69000626,0
133.20844972,113260.61718750,9.69508266,0
133.22888394,113287.75781250,9.69790173,0
133.24931826,113288.21093750,9.69628811,8192
133.26975258,113251.46093750,9.69712734,0
133.29018690,113258.66406250,9.69498539,0
133.31062122,113280.24218750,9.69855976,0
133.33105544,113294.38281250,9.70067883,0
133.35148986,113273.21875000,9.69730854,0
133.37192418,113272.04687500,9.70135021,0
133.39235850,113263.17187500,9.69575214,0
