time_bkjd,pdcsap_flux,pdcsap_flux_err,sap_quality
131.51222200,14372.66601562,5.13548994,0
131.53265672,14365.78125000,5.13567209,0
131.55309133,14373.34570312,5.13702154,0
131.57352585,14376.02539062,5.13214159,0
131.59396046,14374.39355469,5.13492584,0
131.61439517,14367.75976562,5.13395548,0
131.63482969,14385.73632812,5.13258934,0
131.65526430,14388.06640625,5.13559103,0
131.67569901,14374.96582031,5.13838339,0
131.69613363,14376.58007812,5.13673544,0
131.71656814,14368.03808594,5.13701677,128
131.73700275,14379.82031250,5.13780117,0
131.75743747,14377.42675781,5.13238430,0
131.77787198,14361.65429688,5.13528585,0
131.79830659,14369.32812500,5.13558626,0
131.81874131,14384.14355469,5.13771486,128
131.83917582,14378.83593750,5.13559389,0
131.85961043,14377.56835938,5.13755941,0
131.88004504,14373.83203125,5.13818169,0
131.90047966,14373.69726562,5.13622665,0
131.92091427,14376.94921875,5.13701391,8192
131.94134888,14388.16894531,5.14072943,0
131.96178350,14371.64160156,5.13768244,0
131.98221811,14377.78320312,5.13578701,0
132.00265272,14362.84863281,5.13568783,0
132.02308723,14381.18066406,5.13888645,0
132.04352195,14378.04687500,5.13974571,0
132.06395656,14388.36425781,5.13850212,0
132.08439107,14374.68847656,5.13977671,0
132.10482568,14380.89746094,5.13830233,0
132.12526039,14383.18457031,5.13944292,0
132.14569491,14376.63867188,5.13805676,0
132.16612952,14380.55468750,5.13597107,0
132.18656423,14375.16699219,5.13838768,0
132.20699884,14370.73242188,5.13700819,0
132.22743335,14744.01171875,5.22306013,2176
132.24786797,14373.95605469,5.13918018,0
132.26830268,14373.87988281,5.13849592,0
132.28873719,14373.88867188,5.14121914,0
132.30917180,14369.47851562,5.13748646,0
132.32960651,14377.72070312,5.14167738,0
132.35004102,14378.44335938,5.14245749,0
132.37047564,14370.28125000,5.13766193,0
132.39091025,14377.22070312,5.13868046,8192
132.41134486,14379.72265625,5.13778687,0
132.43177947,14371.55664062,5.14085674,0
132.45221408,14374.76464844,5.14006186,8192
132.47264879,14373.11718750,5.13822937,8192
132.49308330,14373.83300781,5.13753891,0
132.51351791,14375.44335938,5.13899040,0
132.53395242,14359.75976562,5.13927269,0
132.55438714,14377.63476562,5.13976383,0
132.57482175,14376.33398438,5.13979387,0
