time_bkjd,pdcsap_flux,pdcsap_flux_err,sap_quality
131.51205677,95106.23437500,9.13840008,0
131.53249143,95133.20312500,9.14152527,0
131.55292600,95107.79687500,9.13377190,0
131.57336047,95115.41406250,9.13866329,0
131.59379503,95115.07031250,9.13500595,8192
131.61422970,95119.71093750,9.14178467,0
131.63466417,95125.82031250,9.13781166,0
131.65509873,95122.53125000,9.14112949,0
131.67553340,95122.85156250,9.14682674,0
131.69596797,95095.65625000,9.13595390,0
131.71640243,95088.66406250,9.13613224,8192
131.73683700,95118.46093750,9.14245129,0
131.75727167,95119.07031250,9.14183617,8192
131.77770613,95098.64843750,9.13659954,0
131.79814070,95111.78125000,9.13986492,0
131.81857537,95090.28125000,9.13497734,0
131.83900983,95114.01562500,9.13372803,0
131.85944440,95078.07031250,9.12925720,0
131.87987896,95105.10937500,9.13319016,0
131.90031353,95075.14062500,9.13169575,0
131.92074810,95107.32812500,9.13739491,0
131.94118266,95074.54687500,9.13621235,0
131.96161723,95099.68750000,9.13606071,0
131.98205179,95093.32812500,9.13931370,8192
132.00248636,95086.91406250,9.13495541,0
132.02292083,95083.99218750,9.14470577,0
132.04335549,95086.73437500,9.13899994,0
132.06379006,95074.25781250,9.13897228,0
132.08422452,95070.92187500,9.13994026,0
132.10465909,95090.84375000,9.13787842,0
132.12509376,95080.02343750,9.14098358,8192
132.14552822,95075.26562500,9.13312912,0
132.16596279,95076.71093750,9.13563538,0
132.18639745,95054.10156250,9.13417244,128
132.20683202,95056.05468750,9.13400364,0
132.22726648,95055.92187500,9.13386822,0
132.24770105,95080.58593750,9.13736534,0
132.26813571,95064.71093750,9.13832474,0
132.28857018,95071.31250000,9.13906765,0
132.30900475,95055.28125000,9.14217377,0
132.32943941,95061.33593750,9.14532566,0
132.34987388,95067.81250000,9.14196205,0
132.37030844,95058.57031250,9.13907909,0
132.39074301,95068.39843750,9.13954067,0
132.41117757,95059.80468750,9.13589478,0
132.43161214,95056.65625000,9.14095306,0
132.45204670,95051.82031250,9.13775349,0
132.47248137,95044.86718750,9.13714409,0
132.49291583,95052.25000000,9.13613796,0
132.51335040,95031.24218750,9.13566113,0
132.53378486,95049.10937500,9.13761234,0
