koi,sig_tt_min,s_oc_min,pval,source
440.01,9.30,7.26,-0.0,Holczer+2016_J/ApJS/225/9_table4
440.02,9.69,8.44,0.0,Holczer+2016_J/ApJS/225/9_table4
442.01,14.09,18.78,-0.0,Holczer+2016_J/ApJS/225/9_table4
443.01,10.84,9.01,-0.0,Holczer+2016_J/ApJS/225/9_table4
444.01,13.33,10.87,-0.0,Holczer+2016_J/ApJS/225/9_table4
446.01,10.56,12.86,-0.0,Holczer+2016_J/ApJS/225/9_table4
446.02,12.46,11.38,-0.0,Holczer+2016_J/ApJS/225/9_table4
448.01,8.57,8.28,-0.0,Holczer+2016_J/ApJS/225/9_table4
448.02,4.95,173.83,-16.,Holczer+2016_J/ApJS/225/9_table4
452.01,17.08,14.63,0.0,Holczer+2016_J/ApJS/225/9_table4
454.01,11.63,8.40,-0.0,Holczer+2016_J/ApJS/225/9_table4
456.01,6.58,17.74,-16.,Holczer+2016_J/ApJS/225/9_table4
456.02,33.45,26.41,0.0,Holczer+2016_J/ApJS/225/9_table4
457.01,8.34,7.18,0.0,Holczer+2016_J/ApJS/225/9_table4
457.02,7.91,11.72,-0.3,Holczer+2016_J/ApJS/225/9_table4
458.01,3.84,4.14,-0.0,Holczer+2016_J/ApJS/225/9_table4
459.01,6.37,7.62,-0.0,Holczer+2016_J/ApJS/225/9_table4
460.01,5.77,5.90,-0.0,Holczer+2016_J/ApJS/225/9_table4
463.01,3.55,4.73,-0.1,Holczer+2016_J/ApJS/225/9_table4
464.01,1.47,3.43,-3.7,Holczer+2016_J/ApJS/225/9_table4
464.02,8.57,9.34,-0.0,Holczer+2016_J/ApJS/225/9_table4
466.01,3.28,2.88,-0.0,Holczer+2016_J/ApJS/225/9_table4
467.01,2.74,3.63,-0.1,Holczer+2016_J/ApJS/225/9_table4
468.01,4.94,5.30,-0.0,Holczer+2016_J/ApJS/225/9_table4
469.01,2.86,3.61,-0.0,Holczer+2016_J/ApJS/225/9_table4
470.01,3.09,3.07,-0.0,Holczer+2016_J/ApJS/225/9_table4
471.01,10.51,13.76,-0.0,Holczer+2016_J/ApJS/225/9_table4
473.01,9.54,26.58,-16.,Holczer+2016_J/ApJS/225/9_table4
474.01,11.99,9.36,-0.0,Holczer+2016_J/ApJS/225/9_table4
474.02,12.81,11.90,-0.0,Holczer+2016_J/ApJS/225/9_table4
474.03,11.17,138.48,-16.,Holczer+2016_J/ApJS/225/9_table4
475.01,15.09,12.16,-0.0,Holczer+2016_J/ApJS/225/9_table4
475.02,11.06,11.43,-0.0,Holczer+2016_J/ApJS/225/9_table4
476.01,13.69,9.46,-0.0,Holczer+2016_J/ApJS/225/9_table4
477.01,11.24,15.30,-0.1,Holczer+2016_J/ApJS/225/9_table4
478.01,3.55,3.94,-0.0,Holczer+2016_J/ApJS/225/9_table4
479.01,5.79,5.92,-0.0,Holczer+2016_J/ApJS/225/9_table4
480.01,7.53,6.83,0.0,Holczer+2016_J/ApJS/225/9_table4
481.01,7.98,7.56,-0.0,Holczer+2016_J/ApJS/225/9_table4
481.02,17.47,15.36,0.0,Holczer+2016_J/ApJS/225/9_table4
481.03,8.72,13.23,-0.4,Holczer+2016_J/ApJS/225/9_table4
483.01,9.87,8.85,0.0,Holczer+2016_J/ApJS/225/9_table4
484.01,7.69,7.13,-0.0,Holczer+2016_J/ApJS/225/9_table4
486.01,8.60,7.86,-0.0,Holczer+2016_J/ApJS/225/9_table4
487.01,13.32,11.73,-0.0,Holczer+2016_J/ApJS/225/9_table4
488.01,17.35,19.56,-0.0,Holczer+2016_J/ApJS/225/9_table4
490.01,15.03,15.24,-0.0,Holczer+2016_J/ApJS/225/9_table4
490.03,16.35,16.50,-0.0,Holczer+2016_J/ApJS/225/9_table4
490.04,22.22,15.37,-0.0,Holczer+2016_J/ApJS/225/9_table4
492.01,11.84,12.36,-0.0,Holczer+2016_J/ApJS/225/9_table4
494.01,11.91,7.04,-0.0,Holczer+2016_J/ApJS/225/9_table4
496.01,15.03,12.02,0.0,Holczer+2016_J/ApJS/225/9_table4
497.01,14.95,11.88,-0.0,Holczer+2016_J/ApJS/225/9_table4
499.01,15.43,10.76,-0.0,Holczer+2016_J/ApJS/225/9_table4
500.01,7.81,9.62,-0.0,Holczer+2016_J/ApJS/225/9_table4
500.02,6.69,10.43,-0.6,Holczer+2016_J/ApJS/225/9_table4
500.03,22.41,22.11,-0.0,Holczer+2016_J/ApJS/225/9_table4
500.04,20.63,25.69,-0.0,Holczer+2016_J/ApJS/225/9_table4
501.01,26.10,25.14,-0.0,Holczer+2016_J/ApJS/225/9_table4
503.01,8.73,8.74,-0.0,Holczer+2016_J/ApJS/225/9_table4
504.01,14.72,11.87,-0.0,Holczer+2016_J/ApJS/225/9_table4
505.01,10.62,12.38,-0.0,Holczer+2016_J/ApJS/225/9_table4
505.02,26.31,23.47,-0.0,Holczer+2016_J/ApJS/225/9_table4
505.04,24.02,16.78,-0.0,Holczer+2016_J/ApJS/225/9_table4
505.05,7.34,7.90,-0.0,Holczer+2016_J/ApJS/225/9_table4
507.01,6.39,7.28,-0.0,Holczer+2016_J/ApJS/225/9_table4
508.01,8.71,8.52,-0.0,Holczer+2016_J/ApJS/225/9_table4
508.02,9.51,9.68,-0.0,Holczer+2016_J/ApJS/225/9_table4
509.01,11.92,11.32,0.0,Holczer+2016_J/ApJS/225/9_table4
509.02,9.86,8.12,-0.0,Holczer+2016_J/ApJS/225/9_table4
509.03,18.55,141.32,-16.,Holczer+2016_J/ApJS/225/9_table4
510.01,19.74,16.16,0.0,Holczer+2016_J/ApJS/225/9_table4
510.02,16.22,20.15,-0.0,Holczer+2016_J/ApJS/225/9_table4
510.03,26.38,36.08,-0.1,Holczer+2016_J/ApJS/225/9_table4
510.04,20.39,12.23,-0.0,Holczer+2016_J/ApJS/225/9_table4
511.01,8.02,9.19,-0.0,Holczer+2016_J/ApJS/225/9_table4
512.01,17.50,15.37,-0.0,Holczer+2016_J/ApJS/225/9_table4
513.01,10.79,14.10,-0.1,Holczer+2016_J/ApJS/225/9_table4
517.01,6.27,5.71,0.0,Holczer+2016_J/ApJS/225/9_table4
518.01,6.01,7.03,-0.0,Holczer+2016_J/ApJS/225/9_table4
518.02,9.42,7.11,-0.0,Holczer+2016_J/ApJS/225/9_table4
519.01,20.64,19.29,-0.0,Holczer+2016_J/ApJS/225/9_table4
519.02,16.99,23.63,-0.2,Holczer+2016_J/ApJS/225/9_table4
520.01,9.44,19.40,-6.8,Holczer+2016_J/ApJS/225/9_table4
520.02,27.40,33.95,-0.0,Holczer+2016_J/ApJS/225/9_table4
520.03,10.61,21.22,-2.9,Holczer+2016_J/ApJS/225/9_table4
521.01,5.98,5.00,-0.0,Holczer+2016_J/ApJS/225/9_table4
523.01,3.64,9.07,-5.7,Holczer+2016_J/ApJS/225/9_table4
523.02,20.57,33.89,-0.8,Holczer+2016_J/ApJS/225/9_table4
524.01,8.85,16.72,-9.6,Holczer+2016_J/ApJS/225/9_table4
525.01,8.20,41.57,-16.,Holczer+2016_J/ApJS/225/9_table4
526.01,6.32,5.83,0.0,Holczer+2016_J/ApJS/225/9_table4
528.01,10.71,9.74,-0.0,Holczer+2016_J/ApJS/225/9_table4
528.02,9.18,15.15,-0.6,Holczer+2016_J/ApJS/225/9_table4
528.03,9.53,10.04,-0.0,Holczer+2016_J/ApJS/225/9_table4
530.01,18.26,16.51,-0.0,Holczer+2016_J/ApJS/225/9_table4
531.01,1.19,1.16,0.0,Holczer+2016_J/ApJS/225/9_table4
532.01,11.21,11.85,-0.0,Holczer+2016_J/ApJS/225/9_table4
533.01,15.33,10.85,-0.0,Holczer+2016_J/ApJS/225/9_table4
534.01,10.63,11.89,-0.0,Holczer+2016_J/ApJS/225/9_table4
534.02,24.08,18.15,0.0,Holczer+2016_J/ApJS/225/9_table4
535.01,6.79,7.22,-0.0,Holczer+2016_J/ApJS/225/9_table4
536.01,6.68,7.91,-0.1,Holczer+2016_J/ApJS/225/9_table4
537.01,18.41,15.02,0.0,Holczer+2016_J/ApJS/225/9_table4
538.01,11.72,14.83,-0.0,Holczer+2016_J/ApJS/225/9_table4
541.01,12.85,11.03,-0.0,Holczer+2016_J/ApJS/225/9_table4
542.01,13.79,16.24,-0.0,Holczer+2016_J/ApJS/225/9_table4
542.02,36.38,39.68,-0.0,Holczer+2016_J/ApJS/225/9_table4
543.01,12.50,10.09,0.0,Holczer+2016_J/ApJS/225/9_table4
546.01,13.91,10.84,-0.0,Holczer+2016_J/ApJS/225/9_table4
546.02,25.92,20.18,-0.0,Holczer+2016_J/ApJS/225/9_table4
547.01,4.52,7.26,-0.8,Holczer+2016_J/ApJS/225/9_table4
548.01,10.68,9.35,-0.0,Holczer+2016_J/ApJS/225/9_table4
550.01,10.80,10.57,-0.0,Holczer+2016_J/ApJS/225/9_table4
551.01,16.43,14.73,-0.0,Holczer+2016_J/ApJS/225/9_table4
551.02,19.31,16.66,-0.0,Holczer+2016_J/ApJS/225/9_table4
555.02,13.37,13.47,-0.0,Holczer+2016_J/ApJS/225/9_table4
557.01,11.14,12.63,-0.0,Holczer+2016_J/ApJS/225/9_table4
558.01,9.38,9.81,-0.0,Holczer+2016_J/ApJS/225/9_table4
560.01,10.00,10.53,-0.0,Holczer+2016_J/ApJS/225/9_table4
561.01,12.44,13.27,-0.0,Holczer+2016_J/ApJS/225/9_table4
563.01,23.66,34.22,-0.2,Holczer+2016_J/ApJS/225/9_table4
564.01,15.18,645.91,-16.,Holczer+2016_J/ApJS/225/9_table4
564.02,2.88,35.90,-16.,Holczer+2016_J/ApJS/225/9_table4
566.01,13.26,7.85,-0.0,Holczer+2016_J/ApJS/225/9_table4
567.01,8.96,8.99,-0.0,Holczer+2016_J/ApJS/225/9_table4
567.02,14.79,12.39,-0.0,Holczer+2016_J/ApJS/225/9_table4
567.03,10.96,11.61,-0.0,Holczer+2016_J/ApJS/225/9_table4
568.01,19.15,15.67,0.0,Holczer+2016_J/ApJS/225/9_table4
569.01,12.40,14.84,-0.0,Holczer+2016_J/ApJS/225/9_table4
571.01,12.50,10.62,-0.0,Holczer+2016_J/ApJS/225/9_table4
571.02,11.01,11.88,-0.0,Holczer+2016_J/ApJS/225/9_table4
571.03,17.28,14.04,0.0,Holczer+2016_J/ApJS/225/9_table4
571.04,13.17,8.92,-0.0,Holczer+2016_J/ApJS/225/9_table4
572.01,17.64,18.14,-0.0,Holczer+2016_J/ApJS/225/9_table4
573.01,14.50,11.42,0.0,Holczer+2016_J/ApJS/225/9_table4
574.01,8.05,8.02,-0.0,Holczer+2016_J/ApJS/225/9_table4
575.01,13.25,11.50,-0.0,Holczer+2016_J/ApJS/225/9_table4
577.01,17.02,11.51,-0.0,Holczer+2016_J/ApJS/225/9_table4
578.01,6.80,6.39,-0.0,Holczer+2016_J/ApJS/225/9_table4
579.01,19.25,16.19,0.0,Holczer+2016_J/ApJS/225/9_table4
579.02,19.13,14.39,0.0,Holczer+2016_J/ApJS/225/9_table4
580.01,11.28,10.80,-0.0,Holczer+2016_J/ApJS/225/9_table4
581.01,6.20,7.09,-0.0,Holczer+2016_J/ApJS/225/9_table4
581.02,15.04,27.56,-0.8,Holczer+2016_J/ApJS/225/9_table4
582.01,10.14,9.80,-0.0,Holczer+2016_J/ApJS/225/9_table4
582.02,16.35,18.67,-0.0,Holczer+2016_J/ApJS/225/9_table4
582.03,29.20,27.68,-0.0,Holczer+2016_J/ApJS/225/9_table4
583.01,30.48,27.97,0.0,Holczer+2016_J/ApJS/225/9_table4
584.01,7.95,9.00,-0.0,Holczer+2016_J/ApJS/225/9_table4
584.02,11.73,10.22,-0.0,Holczer+2016_J/ApJS/225/9_table4
585.01,11.53,12.99,-0.0,Holczer+2016_J/ApJS/225/9_table4
586.01,19.64,14.33,-0.0,Holczer+2016_J/ApJS/225/9_table4
587.01,9.13,13.21,-0.2,Holczer+2016_J/ApJS/225/9_table4
588.01,11.61,14.33,-0.0,Holczer+2016_J/ApJS/225/9_table4
590.01,17.08,19.99,-0.0,Holczer+2016_J/ApJS/225/9_table4
590.02,11.38,12.71,-0.0,Holczer+2016_J/ApJS/225/9_table4
592.01,15.18,28.73,-1.9,Holczer+2016_J/ApJS/225/9_table4
593.01,13.49,13.63,-0.0,Holczer+2016_J/ApJS/225/9_table4
593.02,8.99,24.84,-3.9,Holczer+2016_J/ApJS/225/9_table4
593.03,34.65,22.15,-0.0,Holczer+2016_J/ApJS/225/9_table4
596.01,11.32,9.83,0.0,Holczer+2016_J/ApJS/225/9_table4
597.01,20.21,20.13,-0.0,Holczer+2016_J/ApJS/225/9_table4
597.03,20.35,7.29,-0.0,Holczer+2016_J/ApJS/225/9_table4
598.01,11.03,13.12,-0.0,Holczer+2016_J/ApJS/225/9_table4
598.02,25.98,15.65,-0.0,Holczer+2016_J/ApJS/225/9_table4
599.01,15.71,19.49,-0.0,Holczer+2016_J/ApJS/225/9_table4
600.01,19.42,23.18,-0.0,Holczer+2016_J/ApJS/225/9_table4
601.01,9.43,8.38,0.0,Holczer+2016_J/ApJS/225/9_table4
601.02,5.31,5.40,-0.0,Holczer+2016_J/ApJS/225/9_table4
602.01,21.20,17.70,-0.0,Holczer+2016_J/ApJS/225/9_table4
605.01,9.46,8.91,0.0,Holczer+2016_J/ApJS/225/9_table4
610.01,7.78,11.43,-0.3,Holczer+2016_J/ApJS/225/9_table4
611.01,1.12,1.27,-0.0,Holczer+2016_J/ApJS/225/9_table4
612.01,8.28,12.67,-0.4,Holczer+2016_J/ApJS/225/9_table4
612.02,7.49,7.51,-0.0,Holczer+2016_J/ApJS/225/9_table4
614.01,1.74,2.23,-0.0,Holczer+2016_J/ApJS/225/9_table4
617.01,1.26,1.30,-0.0,Holczer+2016_J/ApJS/225/9_table4
618.01,9.57,10.22,-0.0,Holczer+2016_J/ApJS/225/9_table4
620.01,1.50,5.65,-16.,Holczer+2016_J/ApJS/225/9_table4
620.02,0.95,12.08,-16.,Holczer+2016_J/ApJS/225/9_table4
620.03,5.94,13.39,-2.3,Holczer+2016_J/ApJS/225/9_table4
622.01,4.39,6.09,-0.3,Holczer+2016_J/ApJS/225/9_table4
623.01,17.72,13.49,-0.0,Holczer+2016_J/ApJS/225/9_table4
623.02,20.50,15.16,-0.0,Holczer+2016_J/ApJS/225/9_table4
623.03,22.53,19.41,-0.0,Holczer+2016_J/ApJS/225/9_table4
623.04,34.90,51.14,-0.3,Holczer+2016_J/ApJS/225/9_table4
624.01,6.41,4.99,-0.0,Holczer+2016_J/ApJS/225/9_table4
624.02,7.34,8.27,-0.0,Holczer+2016_J/ApJS/225/9_table4
624.03,19.68,16.86,0.0,Holczer+2016_J/ApJS/225/9_table4
625.01,4.94,4.51,-0.0,Holczer+2016_J/ApJS/225/9_table4
626.01,12.99,13.41,-0.0,Holczer+2016_J/ApJS/225/9_table4
627.01,10.17,10.47,-0.0,Holczer+2016_J/ApJS/225/9_table4
628.01,9.56,12.52,-0.0,Holczer+2016_J/ApJS/225/9_table4
629.01,16.09,19.78,-0.0,Holczer+2016_J/ApJS/225/9_table4
632.01,14.40,13.31,-0.0,Holczer+2016_J/ApJS/225/9_table4
635.01,5.58,9.52,-1.4,Holczer+2016_J/ApJS/225/9_table4
638.01,4.62,84.73,-16.,Holczer+2016_J/ApJS/225/9_table4
638.02,4.36,4.54,-0.0,Holczer+2016_J/ApJS/225/9_table4
639.01,11.68,11.43,-0.0,Holczer+2016_J/ApJS/225/9_table4
640.01,5.60,7.53,-0.1,Holczer+2016_J/ApJS/225/9_table4
641.01,5.92,6.58,-0.0,Holczer+2016_J/ApJS/225/9_table4
645.01,24.77,23.26,-0.0,Holczer+2016_J/ApJS/225/9_table4
645.02,20.11,20.96,-0.0,Holczer+2016_J/ApJS/225/9_table4
647.01,19.67,23.79,-0.0,Holczer+2016_J/ApJS/225/9_table4
649.01,13.40,14.23,-0.0,Holczer+2016_J/ApJS/225/9_table4
650.01,4.37,5.54,-0.0,Holczer+2016_J/ApJS/225/9_table4
652.01,1.44,1.69,-0.0,Holczer+2016_J/ApJS/225/9_table4
654.01,19.14,25.64,-0.0,Holczer+2016_J/ApJS/225/9_table4
655.01,8.94,8.41,-0.0,Holczer+2016_J/ApJS/225/9_table4
655.02,12.25,13.46,-0.1,Holczer+2016_J/ApJS/225/9_table4
657.01,11.68,11.18,-0.0,Holczer+2016_J/ApJS/225/9_table4
657.02,7.90,9.10,-0.0,Holczer+2016_J/ApJS/225/9_table4
658.01,10.11,8.15,0.0,Holczer+2016_J/ApJS/225/9_table4
658.02,11.51,9.57,0.0,Holczer+2016_J/ApJS/225/9_table4
658.03,35.84,52.25,-0.3,Holczer+2016_J/ApJS/225/9_table4
659.01,11.67,10.25,-0.0,Holczer+2016_J/ApJS/225/9_table4
660.01,20.02,26.02,-0.0,Holczer+2016_J/ApJS/225/9_table4
661.01,16.67,13.59,-0.0,Holczer+2016_J/ApJS/225/9_table4
661.02,50.47,56.25,-0.0,Holczer+2016_J/ApJS/225/9_table4
662.01,15.79,16.23,-0.0,Holczer+2016_J/ApJS/225/9_table4
663.01,7.64,7.72,0.0,Holczer+2016_J/ApJS/225/9_table4
663.02,6.27,10.76,-1.1,Holczer+2016_J/ApJS/225/9_table4
664.01,19.02,15.26,-0.0,Holczer+2016_J/ApJS/225/9_table4
664.03,47.48,62.81,-0.1,Holczer+2016_J/ApJS/225/9_table4
665.01,8.87,9.55,-0.0,Holczer+2016_J/ApJS/225/9_table4
666.01,6.82,8.76,-0.0,Holczer+2016_J/ApJS/225/9_table4
670.01,17.46,17.55,-0.0,Holczer+2016_J/ApJS/225/9_table4
671.01,26.00,29.29,-0.0,Holczer+2016_J/ApJS/225/9_table4
671.02,36.84,43.57,-0.0,Holczer+2016_J/ApJS/225/9_table4
671.03,32.73,31.04,-0.0,Holczer+2016_J/ApJS/225/9_table4
672.01,9.27,8.07,-0.0,Holczer+2016_J/ApJS/225/9_table4
672.02,5.63,13.25,-5.1,Holczer+2016_J/ApJS/225/9_table4
673.01,13.05,10.68,0.0,Holczer+2016_J/ApJS/225/9_table4
674.01,3.90,3.89,-0.0,Holczer+2016_J/ApJS/225/9_table4
676.01,1.61,2.09,-0.0,Holczer+2016_J/ApJS/225/9_table4
676.02,2.66,2.93,0.0,Holczer+2016_J/ApJS/225/9_table4
678.01,15.63,13.57,-0.0,Holczer+2016_J/ApJS/225/9_table4
678.02,16.76,12.76,0.0,Holczer+2016_J/ApJS/225/9_table4
679.01,12.04,17.29,-0.2,Holczer+2016_J/ApJS/225/9_table4
680.01,1.26,1.07,-0.0,Holczer+2016_J/ApJS/225/9_table4
684.01,7.21,7.38,-0.0,Holczer+2016_J/ApJS/225/9_table4
685.01,15.98,16.32,0.0,Holczer+2016_J/ApJS/225/9_table4
686.01,0.28,0.23,-0.0,Holczer+2016_J/ApJS/225/9_table4
688.01,17.30,18.60,-0.0,Holczer+2016_J/ApJS/225/9_table4
689.01,9.76,13.95,-0.2,Holczer+2016_J/ApJS/225/9_table4
691.01,8.48,4.85,-0.0,Holczer+2016_J/ApJS/225/9_table4
691.02,47.28,57.08,-0.0,Holczer+2016_J/ApJS/225/9_table4
693.01,30.82,30.83,-0.0,Holczer+2016_J/ApJS/225/9_table4
693.02,13.92,17.48,-0.0,Holczer+2016_J/ApJS/225/9_table4
694.01,5.95,8.24,-0.1,Holczer+2016_J/ApJS/225/9_table4
695.01,6.32,7.78,-0.0,Holczer+2016_J/ApJS/225/9_table4
697.01,9.39,9.08,-0.0,Holczer+2016_J/ApJS/225/9_table4
698.01,0.81,0.81,-0.0,Holczer+2016_J/ApJS/225/9_table4
700.01,6.32,7.75,-0.0,Holczer+2016_J/ApJS/225/9_table4
700.02,18.06,16.55,-0.0,Holczer+2016_J/ApJS/225/9_table4
700.03,25.11,22.83,-0.0,Holczer+2016_J/ApJS/225/9_table4
700.04,21.21,7.65,-0.0,Holczer+2016_J/ApJS/225/9_table4
701.01,4.88,5.32,-0.0,Holczer+2016_J/ApJS/225/9_table4
701.02,10.21,9.45,-0.0,Holczer+2016_J/ApJS/225/9_table4
701.03,8.42,6.63,-0.0,Holczer+2016_J/ApJS/225/9_table4
704.01,6.91,5.26,-0.0,Holczer+2016_J/ApJS/225/9_table4
707.01,8.36,10.45,-0.0,Holczer+2016_J/ApJS/225/9_table4
707.02,14.90,18.65,-0.1,Holczer+2016_J/ApJS/225/9_table4
707.03,17.47,22.58,-0.1,Holczer+2016_J/ApJS/225/9_table4
707.04,24.00,18.57,-0.0,Holczer+2016_J/ApJS/225/9_table4
708.01,10.48,11.22,-0.0,Holczer+2016_J/ApJS/225/9_table4
708.02,18.73,18.83,-0.0,Holczer+2016_J/ApJS/225/9_table4
709.01,9.08,17.87,-3.6,Holczer+2016_J/ApJS/225/9_table4
710.01,22.98,17.38,0.0,Holczer+2016_J/ApJS/225/9_table4
710.02,28.23,36.08,-0.0,Holczer+2016_J/ApJS/225/9_table4
711.01,6.84,6.62,-0.0,Holczer+2016_J/ApJS/225/9_table4
711.02,25.21,24.09,-0.0,Holczer+2016_J/ApJS/225/9_table4
711.03,9.29,11.52,-0.1,Holczer+2016_J/ApJS/225/9_table4
714.01,4.17,4.81,-0.0,Holczer+2016_J/ApJS/225/9_table4
716.01,2.26,1.65,-0.0,Holczer+2016_J/ApJS/225/9_table4
717.01,15.85,13.71,-0.0,Holczer+2016_J/ApJS/225/9_table4
718.01,12.80,11.88,0.0,Holczer+2016_J/ApJS/225/9_table4
718.02,10.55,9.72,-0.0,Holczer+2016_J/ApJS/225/9_table4
718.03,20.62,12.30,-0.0,Holczer+2016_J/ApJS/225/9_table4
719.01,4.57,3.39,0.0,Holczer+2016_J/ApJS/225/9_table4
719.02,11.73,13.03,-0.0,Holczer+2016_J/ApJS/225/9_table4
719.03,12.39,13.80,-0.0,Holczer+2016_J/ApJS/225/9_table4
719.04,18.27,15.96,0.0,Holczer+2016_J/ApJS/225/9_table4
720.01,4.04,4.23,-0.0,Holczer+2016_J/ApJS/225/9_table4
720.02,5.03,4.86,-0.0,Holczer+2016_J/ApJS/225/9_table4
720.03,6.09,9.00,-0.3,Holczer+2016_J/ApJS/225/9_table4
720.04,15.60,12.69,0.0,Holczer+2016_J/ApJS/225/9_table4
721.01,20.10,24.65,-0.0,Holczer+2016_J/ApJS/225/9_table4
722.01,10.36,9.90,-0.0,Holczer+2016_J/ApJS/225/9_table4
723.01,7.38,6.81,0.0,Holczer+2016_J/ApJS/225/9_table4
723.02,6.06,8.09,-0.1,Holczer+2016_J/ApJS/225/9_table4
723.03,4.88,4.60,-0.0,Holczer+2016_J/ApJS/225/9_table4
728.01,1.58,1.49,-0.0,Holczer+2016_J/ApJS/225/9_table4
730.01,27.31,57.02,-3.5,Holczer+2016_J/ApJS/225/9_table4
730.02,61.86,80.19,-0.1,Holczer+2016_J/ApJS/225/9_table4
730.03,33.06,93.11,-13.0,Holczer+2016_J/ApJS/225/9_table4
732.01,10.18,9.44,0.0,Holczer+2016_J/ApJS/225/9_table4
733.01,10.26,8.13,0.0,Holczer+2016_J/ApJS/225/9_table4
733.02,11.63,8.33,-0.0,Holczer+2016_J/ApJS/225/9_table4
733.04,15.97,20.01,-0.0,Holczer+2016_J/ApJS/225/9_table4
734.01,13.56,19.00,-0.2,Holczer+2016_J/ApJS/225/9_table4
734.02,16.83,34.46,-1.7,Holczer+2016_J/ApJS/225/9_table4
735.01,11.13,14.19,-0.1,Holczer+2016_J/ApJS/225/9_table4
736.01,11.98,15.14,-0.0,Holczer+2016_J/ApJS/225/9_table4
738.01,15.86,40.01,-16.,Holczer+2016_J/ApJS/225/9_table4
738.02,16.06,66.90,-16.,Holczer+2016_J/ApJS/225/9_table4
739.01,18.35,14.45,0.0,Holczer+2016_J/ApJS/225/9_table4
740.01,15.52,9.22,-0.0,Holczer+2016_J/ApJS/225/9_table4
746.01,9.45,15.06,-1.0,Holczer+2016_J/ApJS/225/9_table4
747.01,7.55,7.79,-0.0,Holczer+2016_J/ApJS/225/9_table4
749.01,14.95,12.97,0.0,Holczer+2016_J/ApJS/225/9_table4
750.01,12.66,12.84,-0.0,Holczer+2016_J/ApJS/225/9_table4
751.01,21.48,26.09,-0.0,Holczer+2016_J/ApJS/225/9_table4
752.01,20.26,19.19,-0.0,Holczer+2016_J/ApJS/225/9_table4
752.02,12.97,9.23,-0.0,Holczer+2016_J/ApJS/225/9_table4
753.01,1.41,1.70,-0.0,Holczer+2016_J/ApJS/225/9_table4
755.01,20.22,16.47,0.0,Holczer+2016_J/ApJS/225/9_table4
756.01,12.92,10.88,-0.0,Holczer+2016_J/ApJS/225/9_table4
756.02,25.74,25.43,-0.0,Holczer+2016_J/ApJS/225/9_table4
757.01,3.09,4.24,-0.1,Holczer+2016_J/ApJS/225/9_table4
757.02,9.22,34.26,-16.,Holczer+2016_J/ApJS/225/9_table4
757.03,15.61,15.35,-0.0,Holczer+2016_J/ApJS/225/9_table4
758.01,15.16,12.19,-0.0,Holczer+2016_J/ApJS/225/9_table4
759.01,5.79,67.80,-16.,Holczer+2016_J/ApJS/225/9_table4
759.02,26.95,35.06,-0.2,Holczer+2016_J/ApJS/225/9_table4
760.01,1.03,1.23,-0.0,Holczer+2016_J/ApJS/225/9_table4
762.01,33.05,31.42,-0.0,Holczer+2016_J/ApJS/225/9_table4
763.01,1.26,1.66,-0.1,Holczer+2016_J/ApJS/225/9_table4
764.01,6.47,7.08,-0.0,Holczer+2016_J/ApJS/225/9_table4
765.01,12.21,10.64,-0.0,Holczer+2016_J/ApJS/225/9_table4
766.01,8.17,8.67,-0.0,Holczer+2016_J/ApJS/225/9_table4
767.01,0.64,0.70,-0.0,Holczer+2016_J/ApJS/225/9_table4
769.01,15.85,13.54,0.0,Holczer+2016_J/ApJS/225/9_table4
772.01,5.41,3.65,-0.0,Holczer+2016_J/ApJS/225/9_table4
773.01,13.08,13.32,-0.0,Holczer+2016_J/ApJS/225/9_table4
775.01,12.02,11.11,-0.0,Holczer+2016_J/ApJS/225/9_table4
775.02,10.37,16.24,-0.7,Holczer+2016_J/ApJS/225/9_table4
775.03,11.53,9.95,-0.0,Holczer+2016_J/ApJS/225/9_table4
776.01,2.60,3.12,-0.0,Holczer+2016_J/ApJS/225/9_table4
777.01,3.13,7.53,-6.2,Holczer+2016_J/ApJS/225/9_table4
778.01,17.23,12.01,0.0,Holczer+2016_J/ApJS/225/9_table4
780.01,12.67,12.12,0.0,Holczer+2016_J/ApJS/225/9_table4
781.01,7.87,7.66,-0.0,Holczer+2016_J/ApJS/225/9_table4
782.01,4.66,4.22,0.0,Holczer+2016_J/ApJS/225/9_table4
783.01,4.75,6.30,-0.0,Holczer+2016_J/ApJS/225/9_table4
784.01,11.70,20.88,-1.7,Holczer+2016_J/ApJS/225/9_table4
784.02,15.57,12.92,-0.0,Holczer+2016_J/ApJS/225/9_table4
785.01,18.76,18.91,-0.0,Holczer+2016_J/ApJS/225/9_table4
787.01,14.35,13.68,0.0,Holczer+2016_J/ApJS/225/9_table4
787.02,13.01,16.85,-0.0,Holczer+2016_J/ApJS/225/9_table4
788.01,9.55,10.46,-0.0,Holczer+2016_J/ApJS/225/9_table4
790.01,13.41,9.43,0.0,Holczer+2016_J/ApJS/225/9_table4
790.02,17.14,18.57,-0.0,Holczer+2016_J/ApJS/225/9_table4
791.01,2.79,3.27,-0.0,Holczer+2016_J/ApJS/225/9_table4
795.01,12.75,12.32,-0.0,Holczer+2016_J/ApJS/225/9_table4
797.01,3.78,3.67,-0.0,Holczer+2016_J/ApJS/225/9_table4
800.01,20.78,16.67,0.0,Holczer+2016_J/ApJS/225/9_table4
800.02,20.66,11.97,0.0,Holczer+2016_J/ApJS/225/9_table4
801.01,1.38,1.44,0.0,Holczer+2016_J/ApJS/225/9_table4
