kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_incl,koi_steff,koi_slogg,koi_srad,koi_smass
"K00123.01",5094751,"Kepler-109 b","CONFIRMED","CANDIDATE",1.0000,6.481633073,122.977657,0.833,3.784,298.5,2.54,0.0683,83.8,5945.00,4.213,1.3020,1.0090
"K00124.01",11086270,"Kepler-110 b","CONFIRMED","CANDIDATE",0.4150,12.69104387,137.12594,0.008,3.7727,252.1,2.57,0.1072,89.98,5869.00,4.024,1.6260,1.0190
"K00139.02",8559644,"Kepler-111 b","CONFIRMED","CANDIDATE",1.0000,3.341799486,141.35472,0.426,2.9254,178.2,1.67,0.0451,86.96,5873.00,4.293,1.2350,1.0920
"K00150.01",7626506,"Kepler-112 b","CONFIRMED","CANDIDATE",1.0000,8.408878137,134.006366,0.018,3.4967,798.9,2.28,0.0744,89.95,5551.00,4.508,0.8120,0.7760
"K00153.02",12252424,"Kepler-113 b","CONFIRMED","CANDIDATE",1.0000,4.75400072,128.547155,0.672,2.5394,748.7,2,0.0502,86.54,4728.00,4.628,0.6930,0.7680
"K00156.02",10925104,"Kepler-114 b","CONFIRMED","CANDIDATE",0.9920,5.188563677,145.362252,0.179,2.3683,358.7,1,0.0484,89.39,3980.00,4.722,0.5400,0.5600
"K00156.01",10925104,"Kepler-114 c","CONFIRMED","CANDIDATE",0.6800,8.041347775,143.038292,0.26,2.6332,591,1.29,0.0648,89.36,3980.00,4.722,0.5400,0.5600
"K00159.02",8972058,"Kepler-115 b","CONFIRMED","CANDIDATE",1.0000,2.403640701,134.73065,0.918,1.4012,74.9,1.24,0.0355,80.55,5881.00,4.315,1.1710,1.0320
"K00159.01",8972058,"Kepler-115 c","CONFIRMED","CANDIDATE",1.0000,8.99088621,136.73923,0.77,4.2447,469.7,2.78,0.0856,85.95,5881.00,4.315,1.1710,1.0320
"K00171.01",7831264,"Kepler-116 b","CONFIRMED","CANDIDATE",1.0000,5.968724048,137.158607,0.166,3.651,510.6,3.26,0.067,89.25,6122.00,4.173,1.4390,1.1230
"K00171.02",7831264,"Kepler-116 c","CONFIRMED","CANDIDATE",1.0000,13.07141889,144.44217,0.751,3.0946,251.1,2.47,0.113,88.05,6122.00,4.173,1.4390,1.1230
