pl_name,hostname,pl_letter,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,default_flag,tran_flag
"Kepler-768 b","Kepler-768","b",1,"Transit",2016,"Kepler",11.39100250000,,1.79000000,0.15969310,,,,,,,2.2970000,5108.00,0.780000,0.820000,1,1
"Kepler-744 b","Kepler-744","b",1,"Transit",2016,"Kepler",12.06222443000,,1.62000000,0.14452672,,,,,,,2.1007000,5594.00,0.930000,0.940000,1,1
"Kepler-758 b","Kepler-758","b",4,"Transit",2016,"Kepler",12.10971040000,,2.48000000,0.22125078,,,,,,,5.8000000,6228.00,1.420000,1.160000,1,1
"Kepler-24 c","Kepler-24","c",4,"Transit",2011,"Kepler",12.33000000000,,2.51400000,0.22428444,9.99000000,0.03143206,0.014000,,,,,6028.00,1.099000,1.060000,1,1
"Kepler-772 b","Kepler-772","b",1,"Transit",2016,"Kepler",12.99207337000,,1.82000000,0.16236952,,,,,,,5.9838000,5714.00,1.110000,0.980000,1,1
"Kepler-781 b","Kepler-781","b",1,"Transit",2016,"Kepler",13.21407320000,,2.89000000,0.25782853,,,,,,,3.4241000,5162.00,0.780000,0.810000,1,1
"Kepler-29 c","Kepler-29","c",2,"Transit",2011,"Kepler",13.28613000000,,2.34000000,0.20876082,4.50000000,0.01415851,0.000000,,,,,5378.00,0.732000,0.761000,1,1
"Kepler-36 b","Kepler-36","b",2,"Transit",2012,"Kepler",13.86825000000,,1.49800000,0.13364261,3.83000000,0.01205047,0.000000,,,,,5979.00,1.634000,1.034000,1,1
"Kepler-754 b","Kepler-754","b",1,"Transit",2016,"Kepler",14.55962370000,,2.01000000,0.17932019,,,,,,,5.7600000,5935.00,1.080000,1.060000,1,1
"Kepler-80 g","Kepler-80","g",6,"Transit",2017,"Kepler",14.64558000000,,1.13000000,0.10081185,,,,89.35000,0.520000,,2.1200000,4540.00,0.678000,0.830000,1,1
"Kepler-749 b","Kepler-749","b",1,"Transit",2016,"Kepler",17.31716585000,,3.10000000,0.27656348,,,,,,,3.1599000,5009.00,0.750000,0.790000,1,1
"Kepler-751 b","Kepler-751","b",1,"Transit",2016,"Kepler",17.44490636000,,2.46000000,0.21946650,,,,,,,4.0988000,5387.00,0.840000,0.870000,1,1
"Kepler-1713 b","Kepler-1713","b",1,"Transit",2021,"Kepler",18.01160049000,,1.71673535,0.15315713,,,,,,,,6477.00,1.459000,1.300000,1,1
"Kepler-752 b","Kepler-752","b",1,"Transit",2016,"Kepler",18.82747265000,,2.81000000,0.25069141,,,,,,,4.7320000,5373.00,0.830000,0.870000,1,1
"Kepler-770 b","Kepler-770","b",3,"Transit",2016,"Kepler",18.92540274000,,2.30000000,0.20519226,,,,,,,3.7409000,5598.00,0.920000,0.940000,1,1
"Kepler-505 b","Kepler-505","b",1,"Transit",2016,"Kepler",27.52197994000,,2.60000000,0.23195646,,,,,,,4.0704000,3931.00,0.530000,0.550000,1,1
"Kepler-765 b","Kepler-765","b",1,"Transit",2016,"Kepler",27.66552260000,,2.43000000,0.21679008,,,,,,,6.5080000,5901.00,1.060000,1.050000,1,1
