pl_name,hostname,pl_letter,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmasselim,pl_orbeccen,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,default_flag,tran_flag
"K2-3 c","K2-3","c",3,"Transit",2015,"K2",24.64672900000,0.1357000000,1.58200000,0.14113683,2.68000000,0.00843222,0,0.048000,89.84000,0.140000,,,3844.00,0.546000,0.549000,1,1
"K2-3 b","K2-3","b",3,"Transit",2015,"K2",10.05465350000,0.0747000000,2.07800000,0.18538706,5.11000000,0.01607786,0,0.107000,89.40000,0.310000,,,3844.00,0.546000,0.549000,1,1
